group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,OneStrike,,,1393706.0,ns,5
option prices varying strike,cgmy,OneStrike,,,2216111.0,ns,10
option prices varying strike,cgmy,OneStrike,,,3348716.0,ns,15
option prices varying strike,cgmy,OneStrike,,,4295420.0,ns,20
option prices varying strike,cgmy,OneStrike,,,5284925.0,ns,25
option prices varying strike,cgmy,OneStrike,,,6900133.0,ns,30
option prices varying strike,cgmy,OneStrike,,,7907438.0,ns,35
option prices varying strike,cgmy,OneStrike,,,8852842.0,ns,40
option prices varying strike,cgmy,OneStrike,,,9842747.0,ns,45
option prices varying strike,cgmy,OneStrike,,,12054058.0,ns,50
option prices varying strike,cgmy,OneStrike,,,13980866.0,ns,55
option prices varying strike,cgmy,OneStrike,,,14428669.0,ns,60
option prices varying strike,cgmy,OneStrike,,,14492069.0,ns,65
option prices varying strike,cgmy,OneStrike,,,15699875.0,ns,70
option prices varying strike,cgmy,OneStrike,,,17242882.0,ns,75
option prices varying strike,cgmy,OneStrike,,,17810485.0,ns,80
option prices varying strike,cgmy,OneStrike,,,19168292.0,ns,85
option prices varying strike,cgmy,OneStrike,,,19127291.0,ns,90
option prices varying strike,cgmy,OneStrike,,,22082405.0,ns,95
option prices varying strike,cgmy,OneStrike,,,22043605.0,ns,100
option prices varying strike,cgmy,OneStrike,,,24095915.0,ns,105
option prices varying strike,cgmy,OneStrike,,,23021910.0,ns,110
option prices varying strike,cgmy,OneStrike,,,24470417.0,ns,115
option prices varying strike,cgmy,OneStrike,,,26705227.0,ns,120
option prices varying strike,cgmy,OneStrike,,,27804233.0,ns,125
option prices varying strike,cgmy,OneStrike,,,27960633.0,ns,130
option prices varying strike,cgmy,OneStrike,,,30096644.0,ns,135
option prices varying strike,cgmy,OneStrike,,,30929347.0,ns,140
option prices varying strike,cgmy,OneStrike,,,31653351.0,ns,145
option prices varying strike,cgmy,OneStrike,,,34210463.0,ns,150
option prices varying strike,cgmy,OneStrike,,,34992467.0,ns,155
option prices varying strike,cgmy,OneStrike,,,34879067.0,ns,160
option prices varying strike,cgmy,OneStrike,,,35821570.0,ns,165
option prices varying strike,cgmy,OneStrike,,,37473479.0,ns,170
option prices varying strike,cgmy,OneStrike,,,37283178.0,ns,175
option prices varying strike,cgmy,OneStrike,,,38932886.0,ns,180
option prices varying strike,cgmy,OneStrike,,,43486807.0,ns,185
option prices varying strike,cgmy,OneStrike,,,45412817.0,ns,190
option prices varying strike,cgmy,OneStrike,,,42177001.0,ns,195
option prices varying strike,cgmy,OneStrike,,,44384811.0,ns,200
option prices varying strike,cgmy,OneStrike,,,45486317.0,ns,205
option prices varying strike,cgmy,OneStrike,,,46407122.0,ns,210
option prices varying strike,cgmy,OneStrike,,,48727332.0,ns,215
option prices varying strike,cgmy,OneStrike,,,49501936.0,ns,220
option prices varying strike,cgmy,OneStrike,,,50258440.0,ns,225
option prices varying strike,cgmy,OneStrike,,,56467669.0,ns,230
option prices varying strike,cgmy,OneStrike,,,54920062.0,ns,235
option prices varying strike,cgmy,OneStrike,,,54696661.0,ns,240
option prices varying strike,cgmy,OneStrike,,,54452359.0,ns,245
option prices varying strike,cgmy,OneStrike,,,57777876.0,ns,250
option prices varying strike,cgmy,OneStrike,,,58141077.0,ns,255
option prices varying strike,cgmy,OneStrike,,,63316102.0,ns,260
option prices varying strike,cgmy,OneStrike,,,66866019.0,ns,265
option prices varying strike,cgmy,OneStrike,,,59671285.0,ns,270
option prices varying strike,cgmy,OneStrike,,,63413602.0,ns,275
option prices varying strike,cgmy,OneStrike,,,62515898.0,ns,280
option prices varying strike,cgmy,OneStrike,,,63741404.0,ns,285
option prices varying strike,cgmy,OneStrike,,,63990805.0,ns,290
option prices varying strike,cgmy,OneStrike,,,65500813.0,ns,295
option prices varying strike,cgmy,OneStrike,,,70420536.0,ns,300
option prices varying strike,cgmy,OneStrike,,,71304140.0,ns,305
option prices varying strike,cgmy,OneStrike,,,69223430.0,ns,310
option prices varying strike,cgmy,OneStrike,,,71240140.0,ns,315
option prices varying strike,cgmy,OneStrike,,,72635646.0,ns,320
option prices varying strike,cgmy,OneStrike,,,81722890.0,ns,325
option prices varying strike,cgmy,OneStrike,,,75141759.0,ns,330
option prices varying strike,cgmy,OneStrike,,,77669370.0,ns,335
option prices varying strike,cgmy,OneStrike,,,78949177.0,ns,340
option prices varying strike,cgmy,OneStrike,,,77614770.0,ns,345
option prices varying strike,cgmy,OneStrike,,,78614675.0,ns,350
option prices varying strike,cgmy,OneStrike,,,78495275.0,ns,355
option prices varying strike,cgmy,OneStrike,,,81441288.0,ns,360
option prices varying strike,cgmy,OneStrike,,,82788995.0,ns,365
option prices varying strike,cgmy,OneStrike,,,83394498.0,ns,370
option prices varying strike,cgmy,OneStrike,,,84825705.0,ns,375
option prices varying strike,cgmy,OneStrike,,,84010101.0,ns,380
option prices varying strike,cgmy,OneStrike,,,90664832.0,ns,385
option prices varying strike,cgmy,OneStrike,,,89621328.0,ns,390
option prices varying strike,cgmy,OneStrike,,,89557827.0,ns,395
option prices varying strike,cgmy,OneStrike,,,93687247.0,ns,400
option prices varying strike,cgmy,OneStrike,,,95457555.0,ns,405
option prices varying strike,cgmy,OneStrike,,,105415803.0,ns,410
option prices varying strike,cgmy,OneStrike,,,93013444.0,ns,415
option prices varying strike,cgmy,OneStrike,,,100991282.0,ns,420
option prices varying strike,cgmy,OneStrike,,,96961863.0,ns,425
option prices varying strike,cgmy,OneStrike,,,107817414.0,ns,430
option prices varying strike,cgmy,OneStrike,,,100449479.0,ns,435
option prices varying strike,cgmy,OneStrike,,,98974372.0,ns,440
option prices varying strike,cgmy,OneStrike,,,106490608.0,ns,445
option prices varying strike,cgmy,OneStrike,,,103995597.0,ns,450
option prices varying strike,cgmy,OneStrike,,,103544694.0,ns,455
option prices varying strike,cgmy,OneStrike,,,116215054.0,ns,460
option prices varying strike,cgmy,OneStrike,,,109266221.0,ns,465
option prices varying strike,cgmy,OneStrike,,,110962630.0,ns,470
option prices varying strike,cgmy,OneStrike,,,107201911.0,ns,475
option prices varying strike,cgmy,OneStrike,,,106171807.0,ns,480
option prices varying strike,cgmy,OneStrike,,,109138120.0,ns,485
option prices varying strike,cgmy,OneStrike,,,116043654.0,ns,490
option prices varying strike,cgmy,OneStrike,,,114473146.0,ns,495
option prices varying strike,cgmy,OneStrike,,,116898958.0,ns,500
