group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,OneStrike,,,1577720.0,ns,5
option prices varying strike,cgmy,OneStrike,,,2555432.0,ns,10
option prices varying strike,cgmy,OneStrike,,,2943237.0,ns,15
option prices varying strike,cgmy,OneStrike,,,3945150.0,ns,20
option prices varying strike,cgmy,OneStrike,,,4915562.0,ns,25
option prices varying strike,cgmy,OneStrike,,,5908275.0,ns,30
option prices varying strike,cgmy,OneStrike,,,6893987.0,ns,35
option prices varying strike,cgmy,OneStrike,,,7932400.0,ns,40
option prices varying strike,cgmy,OneStrike,,,8855112.0,ns,45
option prices varying strike,cgmy,OneStrike,,,9862725.0,ns,50
option prices varying strike,cgmy,OneStrike,,,10897837.0,ns,55
option prices varying strike,cgmy,OneStrike,,,12041752.0,ns,60
option prices varying strike,cgmy,OneStrike,,,12951564.0,ns,65
option prices varying strike,cgmy,OneStrike,,,13869375.0,ns,70
option prices varying strike,cgmy,OneStrike,,,14955689.0,ns,75
option prices varying strike,cgmy,OneStrike,,,15761700.0,ns,80
option prices varying strike,cgmy,OneStrike,,,16827112.0,ns,85
option prices varying strike,cgmy,OneStrike,,,17978227.0,ns,90
option prices varying strike,cgmy,OneStrike,,,19070941.0,ns,95
option prices varying strike,cgmy,OneStrike,,,19884052.0,ns,100
option prices varying strike,cgmy,OneStrike,,,20790962.0,ns,105
option prices varying strike,cgmy,OneStrike,,,21745275.0,ns,110
option prices varying strike,cgmy,OneStrike,,,22868689.0,ns,115
option prices varying strike,cgmy,OneStrike,,,24017904.0,ns,120
option prices varying strike,cgmy,OneStrike,,,25508022.0,ns,125
option prices varying strike,cgmy,OneStrike,,,26064129.0,ns,130
option prices varying strike,cgmy,OneStrike,,,26652937.0,ns,135
option prices varying strike,cgmy,OneStrike,,,27635349.0,ns,140
option prices varying strike,cgmy,OneStrike,,,28726663.0,ns,145
option prices varying strike,cgmy,OneStrike,,,29672175.0,ns,150
option prices varying strike,cgmy,OneStrike,,,30643288.0,ns,155
option prices varying strike,cgmy,OneStrike,,,31665800.0,ns,160
option prices varying strike,cgmy,OneStrike,,,32697413.0,ns,165
option prices varying strike,cgmy,OneStrike,,,33800927.0,ns,170
option prices varying strike,cgmy,OneStrike,,,34492336.0,ns,175
option prices varying strike,cgmy,OneStrike,,,35561449.0,ns,180
option prices varying strike,cgmy,OneStrike,,,36736364.0,ns,185
option prices varying strike,cgmy,OneStrike,,,37589475.0,ns,190
option prices varying strike,cgmy,OneStrike,,,40052807.0,ns,195
option prices varying strike,cgmy,OneStrike,,,39611200.0,ns,200
option prices varying strike,cgmy,OneStrike,,,40765915.0,ns,205
option prices varying strike,cgmy,OneStrike,,,41546625.0,ns,210
option prices varying strike,cgmy,OneStrike,,,42575439.0,ns,215
option prices varying strike,cgmy,OneStrike,,,43414751.0,ns,220
option prices varying strike,cgmy,OneStrike,,,44513764.0,ns,225
option prices varying strike,cgmy,OneStrike,,,45410575.0,ns,230
option prices varying strike,cgmy,OneStrike,,,46618891.0,ns,235
option prices varying strike,cgmy,OneStrike,,,47728705.0,ns,240
option prices varying strike,cgmy,OneStrike,,,48563815.0,ns,245
option prices varying strike,cgmy,OneStrike,,,49537628.0,ns,250
option prices varying strike,cgmy,OneStrike,,,50322937.0,ns,255
option prices varying strike,cgmy,OneStrike,,,51707856.0,ns,260
option prices varying strike,cgmy,OneStrike,,,52101860.0,ns,265
option prices varying strike,cgmy,OneStrike,,,53337576.0,ns,270
option prices varying strike,cgmy,OneStrike,,,54326088.0,ns,275
option prices varying strike,cgmy,OneStrike,,,55257200.0,ns,280
option prices varying strike,cgmy,OneStrike,,,56249213.0,ns,285
option prices varying strike,cgmy,OneStrike,,,57338027.0,ns,290
option prices varying strike,cgmy,OneStrike,,,58743844.0,ns,295
option prices varying strike,cgmy,OneStrike,,,59372852.0,ns,300
option prices varying strike,cgmy,OneStrike,,,60539167.0,ns,305
option prices varying strike,cgmy,OneStrike,,,61509080.0,ns,310
option prices varying strike,cgmy,OneStrike,,,62460391.0,ns,315
option prices varying strike,cgmy,OneStrike,,,63368503.0,ns,320
option prices varying strike,cgmy,OneStrike,,,64456317.0,ns,325
option prices varying strike,cgmy,OneStrike,,,65262527.0,ns,330
option prices varying strike,cgmy,OneStrike,,,66006636.0,ns,335
option prices varying strike,cgmy,OneStrike,,,67230352.0,ns,340
option prices varying strike,cgmy,OneStrike,,,68405467.0,ns,345
option prices varying strike,cgmy,OneStrike,,,69195877.0,ns,350
option prices varying strike,cgmy,OneStrike,,,72241615.0,ns,355
option prices varying strike,cgmy,OneStrike,,,71036100.0,ns,360
option prices varying strike,cgmy,OneStrike,,,72361717.0,ns,365
option prices varying strike,cgmy,OneStrike,,,73250429.0,ns,370
option prices varying strike,cgmy,OneStrike,,,74019537.0,ns,375
option prices varying strike,cgmy,OneStrike,,,75596758.0,ns,380
option prices varying strike,cgmy,OneStrike,,,76157165.0,ns,385
option prices varying strike,cgmy,OneStrike,,,77350281.0,ns,390
option prices varying strike,cgmy,OneStrike,,,78407093.0,ns,395
option prices varying strike,cgmy,OneStrike,,,79089202.0,ns,400
option prices varying strike,cgmy,OneStrike,,,80231517.0,ns,405
option prices varying strike,cgmy,OneStrike,,,81161228.0,ns,410
option prices varying strike,cgmy,OneStrike,,,81942339.0,ns,415
option prices varying strike,cgmy,OneStrike,,,82865250.0,ns,420
option prices varying strike,cgmy,OneStrike,,,84734573.0,ns,425
option prices varying strike,cgmy,OneStrike,,,85135079.0,ns,430
option prices varying strike,cgmy,OneStrike,,,86725999.0,ns,435
option prices varying strike,cgmy,OneStrike,,,88460421.0,ns,440
option prices varying strike,cgmy,OneStrike,,,87837713.0,ns,445
option prices varying strike,cgmy,OneStrike,,,89065329.0,ns,450
option prices varying strike,cgmy,OneStrike,,,89888839.0,ns,455
option prices varying strike,cgmy,OneStrike,,,90777250.0,ns,460
option prices varying strike,cgmy,OneStrike,,,92505772.0,ns,465
option prices varying strike,cgmy,OneStrike,,,93167181.0,ns,470
option prices varying strike,cgmy,OneStrike,,,93832989.0,ns,475
option prices varying strike,cgmy,OneStrike,,,95255207.0,ns,480
option prices varying strike,cgmy,OneStrike,,,95680712.0,ns,485
option prices varying strike,cgmy,OneStrike,,,96898828.0,ns,490
option prices varying strike,cgmy,OneStrike,,,98528249.0,ns,495
option prices varying strike,cgmy,OneStrike,,,99319858.0,ns,500
