group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,SevenStrike,,,1381827.0,ns,3
option prices varying strike,cgmy,SevenStrike,,,2064639.0,ns,6
option prices varying strike,cgmy,SevenStrike,,,3139961.0,ns,9
option prices varying strike,cgmy,SevenStrike,,,4221581.0,ns,12
option prices varying strike,cgmy,SevenStrike,,,5219101.0,ns,15
option prices varying strike,cgmy,SevenStrike,,,6338122.0,ns,18
option prices varying strike,cgmy,SevenStrike,,,7253839.0,ns,21
option prices varying strike,cgmy,SevenStrike,,,8375662.0,ns,24
option prices varying strike,cgmy,SevenStrike,,,9335079.0,ns,27
option prices varying strike,cgmy,SevenStrike,,,10430301.0,ns,30
option prices varying strike,cgmy,SevenStrike,,,11491521.0,ns,33
option prices varying strike,cgmy,SevenStrike,,,12675544.0,ns,36
option prices varying strike,cgmy,SevenStrike,,,13589762.0,ns,39
option prices varying strike,cgmy,SevenStrike,,,14719784.0,ns,42
option prices varying strike,cgmy,SevenStrike,,,15711502.0,ns,45
option prices varying strike,cgmy,SevenStrike,,,16675021.0,ns,48
option prices varying strike,cgmy,SevenStrike,,,17658040.0,ns,51
option prices varying strike,cgmy,SevenStrike,,,18796762.0,ns,54
option prices varying strike,cgmy,SevenStrike,,,19894383.0,ns,57
option prices varying strike,cgmy,SevenStrike,,,21122607.0,ns,60
option prices varying strike,cgmy,SevenStrike,,,21912522.0,ns,63
option prices varying strike,cgmy,SevenStrike,,,23006343.0,ns,66
option prices varying strike,cgmy,SevenStrike,,,26542611.0,ns,69
option prices varying strike,cgmy,SevenStrike,,,25947299.0,ns,72
option prices varying strike,cgmy,SevenStrike,,,26044502.0,ns,75
option prices varying strike,cgmy,SevenStrike,,,27028120.0,ns,78
option prices varying strike,cgmy,SevenStrike,,,28277545.0,ns,81
option prices varying strike,cgmy,SevenStrike,,,29895575.0,ns,84
option prices varying strike,cgmy,SevenStrike,,,30216782.0,ns,87
option prices varying strike,cgmy,SevenStrike,,,31232401.0,ns,90
option prices varying strike,cgmy,SevenStrike,,,32913034.0,ns,93
option prices varying strike,cgmy,SevenStrike,,,33469345.0,ns,96
option prices varying strike,cgmy,SevenStrike,,,34525464.0,ns,99
option prices varying strike,cgmy,SevenStrike,,,35524784.0,ns,102
option prices varying strike,cgmy,SevenStrike,,,36656906.0,ns,105
option prices varying strike,cgmy,SevenStrike,,,37533823.0,ns,108
option prices varying strike,cgmy,SevenStrike,,,38723945.0,ns,111
