group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,SevenStrike,,,7298136.0,ns,4
option prices varying strike,cgmy,SevenStrike,,,2375545.0,ns,8
option prices varying strike,cgmy,SevenStrike,,,3454964.0,ns,12
option prices varying strike,cgmy,SevenStrike,,,4651387.0,ns,16
option prices varying strike,cgmy,SevenStrike,,,5802608.0,ns,20
option prices varying strike,cgmy,SevenStrike,,,6954430.0,ns,24
option prices varying strike,cgmy,SevenStrike,,,8152152.0,ns,28
option prices varying strike,cgmy,SevenStrike,,,9310874.0,ns,32
option prices varying strike,cgmy,SevenStrike,,,11822721.0,ns,36
option prices varying strike,cgmy,SevenStrike,,,11636417.0,ns,40
option prices varying strike,cgmy,SevenStrike,,,12809540.0,ns,44
option prices varying strike,cgmy,SevenStrike,,,13987761.0,ns,48
option prices varying strike,cgmy,SevenStrike,,,15168883.0,ns,52
option prices varying strike,cgmy,SevenStrike,,,16504608.0,ns,56
option prices varying strike,cgmy,SevenStrike,,,17532828.0,ns,60
option prices varying strike,cgmy,SevenStrike,,,18908053.0,ns,64
option prices varying strike,cgmy,SevenStrike,,,19859870.0,ns,68
option prices varying strike,cgmy,SevenStrike,,,21137395.0,ns,72
option prices varying strike,cgmy,SevenStrike,,,22320417.0,ns,76
option prices varying strike,cgmy,SevenStrike,,,23988648.0,ns,80
option prices varying strike,cgmy,SevenStrike,,,24700861.0,ns,84
option prices varying strike,cgmy,SevenStrike,,,25732081.0,ns,88
option prices varying strike,cgmy,SevenStrike,,,26988603.0,ns,92
option prices varying strike,cgmy,SevenStrike,,,28256928.0,ns,96
option prices varying strike,cgmy,SevenStrike,,,29299347.0,ns,100
option prices varying strike,cgmy,SevenStrike,,,30282466.0,ns,104
option prices varying strike,cgmy,SevenStrike,,,31384386.0,ns,108
option prices varying strike,cgmy,SevenStrike,,,32772212.0,ns,112
option prices varying strike,cgmy,SevenStrike,,,34786549.0,ns,116
option prices varying strike,cgmy,SevenStrike,,,35123056.0,ns,120
option prices varying strike,cgmy,SevenStrike,,,36748986.0,ns,124
option prices varying strike,cgmy,SevenStrike,,,37411799.0,ns,128
option prices varying strike,cgmy,SevenStrike,,,38855225.0,ns,132
option prices varying strike,cgmy,SevenStrike,,,39875345.0,ns,136
option prices varying strike,cgmy,SevenStrike,,,41190569.0,ns,140
option prices varying strike,cgmy,SevenStrike,,,42420592.0,ns,144
option prices varying strike,cgmy,SevenStrike,,,43302309.0,ns,148
option prices varying strike,cgmy,SevenStrike,,,44516431.0,ns,152
option prices varying strike,cgmy,SevenStrike,,,45843056.0,ns,156
option prices varying strike,cgmy,SevenStrike,,,46875975.0,ns,160
option prices varying strike,cgmy,SevenStrike,,,48001896.0,ns,164
option prices varying strike,cgmy,SevenStrike,,,49588825.0,ns,168
option prices varying strike,cgmy,SevenStrike,,,50338540.0,ns,172
option prices varying strike,cgmy,SevenStrike,,,51559063.0,ns,176
option prices varying strike,cgmy,SevenStrike,,,52643683.0,ns,180
option prices varying strike,cgmy,SevenStrike,,,54473917.0,ns,184
option prices varying strike,cgmy,SevenStrike,,,54845324.0,ns,188
option prices varying strike,cgmy,SevenStrike,,,56318552.0,ns,192
option prices varying strike,cgmy,SevenStrike,,,57127567.0,ns,196
option prices varying strike,cgmy,SevenStrike,,,58288088.0,ns,200
option prices varying strike,cgmy,SevenStrike,,,59739816.0,ns,204
option prices varying strike,cgmy,SevenStrike,,,60823735.0,ns,208
option prices varying strike,cgmy,SevenStrike,,,62069359.0,ns,212
option prices varying strike,cgmy,SevenStrike,,,63042077.0,ns,216
option prices varying strike,cgmy,SevenStrike,,,64112598.0,ns,220
option prices varying strike,cgmy,SevenStrike,,,65563524.0,ns,224
option prices varying strike,cgmy,SevenStrike,,,66984250.0,ns,228
option prices varying strike,cgmy,SevenStrike,,,67755765.0,ns,232
option prices varying strike,cgmy,SevenStrike,,,68969887.0,ns,236
option prices varying strike,cgmy,SevenStrike,,,70173611.0,ns,240
option prices varying strike,cgmy,SevenStrike,,,71601537.0,ns,244
option prices varying strike,cgmy,SevenStrike,,,73319169.0,ns,248
option prices varying strike,cgmy,SevenStrike,,,73807178.0,ns,252
option prices varying strike,cgmy,SevenStrike,,,75056901.0,ns,256
option prices varying strike,cgmy,SevenStrike,,,76123322.0,ns,260
option prices varying strike,cgmy,SevenStrike,,,78405364.0,ns,264
option prices varying strike,cgmy,SevenStrike,,,81557923.0,ns,268
option prices varying strike,cgmy,SevenStrike,,,80302699.0,ns,272
option prices varying strike,cgmy,SevenStrike,,,81209017.0,ns,276
option prices varying strike,cgmy,SevenStrike,,,82224135.0,ns,280
option prices varying strike,cgmy,SevenStrike,,,83335156.0,ns,284
option prices varying strike,cgmy,SevenStrike,,,84363875.0,ns,288
option prices varying strike,cgmy,SevenStrike,,,86411814.0,ns,292
option prices varying strike,cgmy,SevenStrike,,,87335131.0,ns,296
option prices varying strike,cgmy,SevenStrike,,,88503949.0,ns,300
option prices varying strike,cgmy,SevenStrike,,,90026374.0,ns,304
option prices varying strike,cgmy,SevenStrike,,,90767988.0,ns,308
option prices varying strike,cgmy,SevenStrike,,,92092712.0,ns,312
option prices varying strike,cgmy,SevenStrike,,,93354036.0,ns,316
option prices varying strike,cgmy,SevenStrike,,,93646141.0,ns,320
option prices varying strike,cgmy,SevenStrike,,,94908265.0,ns,324
option prices varying strike,cgmy,SevenStrike,,,96528995.0,ns,328
option prices varying strike,cgmy,SevenStrike,,,97826219.0,ns,332
option prices varying strike,cgmy,SevenStrike,,,98607534.0,ns,336
option prices varying strike,cgmy,SevenStrike,,,100557669.0,ns,340
option prices varying strike,cgmy,SevenStrike,,,100754873.0,ns,344
option prices varying strike,cgmy,SevenStrike,,,102242801.0,ns,348
option prices varying strike,cgmy,SevenStrike,,,103277821.0,ns,352
option prices varying strike,cgmy,SevenStrike,,,105134955.0,ns,356
option prices varying strike,cgmy,SevenStrike,,,105991770.0,ns,360
option prices varying strike,cgmy,SevenStrike,,,107094492.0,ns,364
option prices varying strike,cgmy,SevenStrike,,,108621620.0,ns,368
option prices varying strike,cgmy,SevenStrike,,,109105828.0,ns,372
option prices varying strike,cgmy,SevenStrike,,,109786042.0,ns,376
option prices varying strike,cgmy,SevenStrike,,,110577856.0,ns,380
option prices varying strike,cgmy,SevenStrike,,,111799379.0,ns,384
option prices varying strike,cgmy,SevenStrike,,,113528111.0,ns,388
option prices varying strike,cgmy,SevenStrike,,,114907937.0,ns,392
option prices varying strike,cgmy,SevenStrike,,,115377345.0,ns,396
option prices varying strike,cgmy,SevenStrike,,,116487966.0,ns,400
