group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,SixtyStrike,,,1445400.0,ns,1
option prices varying strike,cgmy,SixtyStrike,,,2951601.0,ns,2
option prices varying strike,cgmy,SixtyStrike,,,3909701.0,ns,3
option prices varying strike,cgmy,SixtyStrike,,,4240102.0,ns,4
option prices varying strike,cgmy,SixtyStrike,,,6107101.0,ns,5
option prices varying strike,cgmy,SixtyStrike,,,6941602.0,ns,6
option prices varying strike,cgmy,SixtyStrike,,,7448502.0,ns,7
option prices varying strike,cgmy,SixtyStrike,,,8193503.0,ns,8
option prices varying strike,cgmy,SixtyStrike,,,9435202.0,ns,9
option prices varying strike,cgmy,SixtyStrike,,,10173303.0,ns,10
option prices varying strike,cgmy,SixtyStrike,,,11402303.0,ns,11
option prices varying strike,cgmy,SixtyStrike,,,12449904.0,ns,12
option prices varying strike,cgmy,SixtyStrike,,,13171704.0,ns,13
option prices varying strike,cgmy,SixtyStrike,,,14523504.0,ns,14
option prices varying strike,cgmy,SixtyStrike,,,22354906.0,ns,15
option prices varying strike,cgmy,SixtyStrike,,,17336905.0,ns,16
option prices varying strike,cgmy,SixtyStrike,,,17901205.0,ns,17
option prices varying strike,cgmy,SixtyStrike,,,18709305.0,ns,18
option prices varying strike,cgmy,SixtyStrike,,,20932106.0,ns,19
option prices varying strike,cgmy,SixtyStrike,,,21239306.0,ns,20
option prices varying strike,cgmy,SixtyStrike,,,23443906.0,ns,21
option prices varying strike,cgmy,SixtyStrike,,,23504507.0,ns,22
option prices varying strike,cgmy,SixtyStrike,,,23046306.0,ns,23
option prices varying strike,cgmy,SixtyStrike,,,27310208.0,ns,24
option prices varying strike,cgmy,SixtyStrike,,,28994608.0,ns,25
option prices varying strike,cgmy,SixtyStrike,,,30040409.0,ns,26
option prices varying strike,cgmy,SixtyStrike,,,30716608.0,ns,27
option prices varying strike,cgmy,SixtyStrike,,,31988409.0,ns,28
option prices varying strike,cgmy,SixtyStrike,,,33463710.0,ns,29
option prices varying strike,cgmy,SixtyStrike,,,36424510.0,ns,30
option prices varying strike,cgmy,SixtyStrike,,,35905210.0,ns,31
option prices varying strike,cgmy,SixtyStrike,,,37088110.0,ns,32
option prices varying strike,cgmy,SixtyStrike,,,39226511.0,ns,33
option prices varying strike,cgmy,SixtyStrike,,,40969712.0,ns,34
option prices varying strike,cgmy,SixtyStrike,,,42717212.0,ns,35
option prices varying strike,cgmy,SixtyStrike,,,43213212.0,ns,36
option prices varying strike,cgmy,SixtyStrike,,,43867812.0,ns,37
option prices varying strike,cgmy,SixtyStrike,,,43737112.0,ns,38
option prices varying strike,cgmy,SixtyStrike,,,46806614.0,ns,39
option prices varying strike,cgmy,SixtyStrike,,,48435913.0,ns,40
option prices varying strike,cgmy,SixtyStrike,,,47507313.0,ns,41
option prices varying strike,cgmy,SixtyStrike,,,54164716.0,ns,42
option prices varying strike,cgmy,SixtyStrike,,,50297714.0,ns,43
option prices varying strike,cgmy,SixtyStrike,,,55164715.0,ns,44
option prices varying strike,cgmy,SixtyStrike,,,51956515.0,ns,45
option prices varying strike,cgmy,SixtyStrike,,,55142015.0,ns,46
option prices varying strike,cgmy,SixtyStrike,,,55352416.0,ns,47
option prices varying strike,cgmy,SixtyStrike,,,58529316.0,ns,48
option prices varying strike,cgmy,SixtyStrike,,,57824516.0,ns,49
option prices varying strike,cgmy,SixtyStrike,,,64081818.0,ns,50
option prices varying strike,cgmy,SixtyStrike,,,62278218.0,ns,51
option prices varying strike,cgmy,SixtyStrike,,,71236820.0,ns,52
option prices varying strike,cgmy,SixtyStrike,,,59894117.0,ns,53
option prices varying strike,cgmy,SixtyStrike,,,63936617.0,ns,54
option prices varying strike,cgmy,SixtyStrike,,,63674518.0,ns,55
option prices varying strike,cgmy,SixtyStrike,,,67685719.0,ns,56
option prices varying strike,cgmy,SixtyStrike,,,71112620.0,ns,57
option prices varying strike,cgmy,SixtyStrike,,,69245520.0,ns,58
option prices varying strike,cgmy,SixtyStrike,,,69063919.0,ns,59
option prices varying strike,cgmy,SixtyStrike,,,70661020.0,ns,60
option prices varying strike,cgmy,SixtyStrike,,,71217220.0,ns,61
option prices varying strike,cgmy,SixtyStrike,,,78831122.0,ns,62
option prices varying strike,cgmy,SixtyStrike,,,79148622.0,ns,63
option prices varying strike,cgmy,SixtyStrike,,,79344322.0,ns,64
option prices varying strike,cgmy,SixtyStrike,,,74368721.0,ns,65
option prices varying strike,cgmy,SixtyStrike,,,75900221.0,ns,66
option prices varying strike,cgmy,SixtyStrike,,,76484422.0,ns,67
option prices varying strike,cgmy,SixtyStrike,,,80798323.0,ns,68
option prices varying strike,cgmy,SixtyStrike,,,79527722.0,ns,69
option prices varying strike,cgmy,SixtyStrike,,,84025423.0,ns,70
option prices varying strike,cgmy,SixtyStrike,,,88398125.0,ns,71
option prices varying strike,cgmy,SixtyStrike,,,85640324.0,ns,72
option prices varying strike,cgmy,SixtyStrike,,,81849423.0,ns,73
option prices varying strike,cgmy,SixtyStrike,,,85126124.0,ns,74
option prices varying strike,cgmy,SixtyStrike,,,94485227.0,ns,75
option prices varying strike,cgmy,SixtyStrike,,,86376324.0,ns,76
option prices varying strike,cgmy,SixtyStrike,,,89201125.0,ns,77
option prices varying strike,cgmy,SixtyStrike,,,93656226.0,ns,78
option prices varying strike,cgmy,SixtyStrike,,,96929027.0,ns,79
option prices varying strike,cgmy,SixtyStrike,,,91312726.0,ns,80
option prices varying strike,cgmy,SixtyStrike,,,92777226.0,ns,81
option prices varying strike,cgmy,SixtyStrike,,,99320028.0,ns,82
option prices varying strike,cgmy,SixtyStrike,,,94280926.0,ns,83
option prices varying strike,cgmy,SixtyStrike,,,93349226.0,ns,84
option prices varying strike,cgmy,SixtyStrike,,,101611929.0,ns,85
option prices varying strike,cgmy,SixtyStrike,,,97498427.0,ns,86
