group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,cgmy,SixtyStrike,,,1737926.0,ns,1
option prices varying strike,cgmy,SixtyStrike,,,2572286.0,ns,2
option prices varying strike,cgmy,SixtyStrike,,,3821876.0,ns,3
option prices varying strike,cgmy,SixtyStrike,,,5091868.0,ns,4
option prices varying strike,cgmy,SixtyStrike,,,6433865.0,ns,5
option prices varying strike,cgmy,SixtyStrike,,,7689455.0,ns,6
option prices varying strike,cgmy,SixtyStrike,,,9025652.0,ns,7
option prices varying strike,cgmy,SixtyStrike,,,10262342.0,ns,8
option prices varying strike,cgmy,SixtyStrike,,,11572536.0,ns,9
option prices varying strike,cgmy,SixtyStrike,,,12811826.0,ns,10
option prices varying strike,cgmy,SixtyStrike,,,14066616.0,ns,11
option prices varying strike,cgmy,SixtyStrike,,,15699734.0,ns,12
option prices varying strike,cgmy,SixtyStrike,,,16811415.0,ns,13
option prices varying strike,cgmy,SixtyStrike,,,18008201.0,ns,14
option prices varying strike,cgmy,SixtyStrike,,,19228289.0,ns,15
option prices varying strike,cgmy,SixtyStrike,,,20522783.0,ns,16
option prices varying strike,cgmy,SixtyStrike,,,21858280.0,ns,17
option prices varying strike,cgmy,SixtyStrike,,,23164073.0,ns,18
option prices varying strike,cgmy,SixtyStrike,,,24622879.0,ns,19
option prices varying strike,cgmy,SixtyStrike,,,25920973.0,ns,20
option prices varying strike,cgmy,SixtyStrike,,,27019352.0,ns,21
option prices varying strike,cgmy,SixtyStrike,,,28284644.0,ns,22
option prices varying strike,cgmy,SixtyStrike,,,29606339.0,ns,23
option prices varying strike,cgmy,SixtyStrike,,,30880031.0,ns,24
option prices varying strike,cgmy,SixtyStrike,,,31996412.0,ns,25
option prices varying strike,cgmy,SixtyStrike,,,33827944.0,ns,26
option prices varying strike,cgmy,SixtyStrike,,,35693379.0,ns,27
option prices varying strike,cgmy,SixtyStrike,,,36322425.0,ns,28
option prices varying strike,cgmy,SixtyStrike,,,38070350.0,ns,29
option prices varying strike,cgmy,SixtyStrike,,,38616290.0,ns,30
