group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,heston,OneStrike,,,1104506.0,ns,8
option prices varying strike,heston,OneStrike,,,1936784.0,ns,16
option prices varying strike,heston,OneStrike,,,2957482.0,ns,24
option prices varying strike,heston,OneStrike,,,3885770.0,ns,32
option prices varying strike,heston,OneStrike,,,4902468.0,ns,40
option prices varying strike,heston,OneStrike,,,5841757.0,ns,48
option prices varying strike,heston,OneStrike,,,7348301.0,ns,56
option prices varying strike,heston,OneStrike,,,7863550.0,ns,64
option prices varying strike,heston,OneStrike,,,9148372.0,ns,72
option prices varying strike,heston,OneStrike,,,10195372.0,ns,80
option prices varying strike,heston,OneStrike,,,11286177.0,ns,88
option prices varying strike,heston,OneStrike,,,12086952.0,ns,96
option prices varying strike,heston,OneStrike,,,12966837.0,ns,104
option prices varying strike,heston,OneStrike,,,13730009.0,ns,112
option prices varying strike,heston,OneStrike,,,15136244.0,ns,120
option prices varying strike,heston,OneStrike,,,15514879.0,ns,128
option prices varying strike,heston,OneStrike,,,17192640.0,ns,136
option prices varying strike,heston,OneStrike,,,17921509.0,ns,144
option prices varying strike,heston,OneStrike,,,19154927.0,ns,152
option prices varying strike,heston,OneStrike,,,20727177.0,ns,160
option prices varying strike,heston,OneStrike,,,20384443.0,ns,168
option prices varying strike,heston,OneStrike,,,21550055.0,ns,176
option prices varying strike,heston,OneStrike,,,22607456.0,ns,184
option prices varying strike,heston,OneStrike,,,24264914.0,ns,192
option prices varying strike,heston,OneStrike,,,24757661.0,ns,200
option prices varying strike,heston,OneStrike,,,25391021.0,ns,208
option prices varying strike,heston,OneStrike,,,26736050.0,ns,216
option prices varying strike,heston,OneStrike,,,28532321.0,ns,224
option prices varying strike,heston,OneStrike,,,28596127.0,ns,232
option prices varying strike,heston,OneStrike,,,29709533.0,ns,240
option prices varying strike,heston,OneStrike,,,30877745.0,ns,248
option prices varying strike,heston,OneStrike,,,31862238.0,ns,256
option prices varying strike,heston,OneStrike,,,34647405.0,ns,264
option prices varying strike,heston,OneStrike,,,33441889.0,ns,272
option prices varying strike,heston,OneStrike,,,35259262.0,ns,280
option prices varying strike,heston,OneStrike,,,37434970.0,ns,288
option prices varying strike,heston,OneStrike,,,37437571.0,ns,296
option prices varying strike,heston,OneStrike,,,42635766.0,ns,304
option prices varying strike,heston,OneStrike,,,42043809.0,ns,312
option prices varying strike,heston,OneStrike,,,42599763.0,ns,320
option prices varying strike,heston,OneStrike,,,45765864.0,ns,328
option prices varying strike,heston,OneStrike,,,45010692.0,ns,336
option prices varying strike,heston,OneStrike,,,43849182.0,ns,344
option prices varying strike,heston,OneStrike,,,43281027.0,ns,352
option prices varying strike,heston,OneStrike,,,46403126.0,ns,360
option prices varying strike,heston,OneStrike,,,45753063.0,ns,368
option prices varying strike,heston,OneStrike,,,46184704.0,ns,376
option prices varying strike,heston,OneStrike,,,46748658.0,ns,384
option prices varying strike,heston,OneStrike,,,48894463.0,ns,392
option prices varying strike,heston,OneStrike,,,49114684.0,ns,400
option prices varying strike,heston,OneStrike,,,50197487.0,ns,408
option prices varying strike,heston,OneStrike,,,52421499.0,ns,416
option prices varying strike,heston,OneStrike,,,52795835.0,ns,424
option prices varying strike,heston,OneStrike,,,53886539.0,ns,432
option prices varying strike,heston,OneStrike,,,53381991.0,ns,440
option prices varying strike,heston,OneStrike,,,54297679.0,ns,448
option prices varying strike,heston,OneStrike,,,54875536.0,ns,456
option prices varying strike,heston,OneStrike,,,56298472.0,ns,464
option prices varying strike,heston,OneStrike,,,57135552.0,ns,472
option prices varying strike,heston,OneStrike,,,58611892.0,ns,480
option prices varying strike,heston,OneStrike,,,59002530.0,ns,488
option prices varying strike,heston,OneStrike,,,59481076.0,ns,496
option prices varying strike,heston,OneStrike,,,60589281.0,ns,504
option prices varying strike,heston,OneStrike,,,62355650.0,ns,512
option prices varying strike,heston,OneStrike,,,62931005.0,ns,520
option prices varying strike,heston,OneStrike,,,65858684.0,ns,528
option prices varying strike,heston,OneStrike,,,65708570.0,ns,536
option prices varying strike,heston,OneStrike,,,67239616.0,ns,544
option prices varying strike,heston,OneStrike,,,68615648.0,ns,552
option prices varying strike,heston,OneStrike,,,69329716.0,ns,560
option prices varying strike,heston,OneStrike,,,69880568.0,ns,568
option prices varying strike,heston,OneStrike,,,77540999.0,ns,576
option prices varying strike,heston,OneStrike,,,72757643.0,ns,584
option prices varying strike,heston,OneStrike,,,73893351.0,ns,592
option prices varying strike,heston,OneStrike,,,77767320.0,ns,600
option prices varying strike,heston,OneStrike,,,75497905.0,ns,608
option prices varying strike,heston,OneStrike,,,76253076.0,ns,616
option prices varying strike,heston,OneStrike,,,77318378.0,ns,624
option prices varying strike,heston,OneStrike,,,79180156.0,ns,632
option prices varying strike,heston,OneStrike,,,78408581.0,ns,640
option prices varying strike,heston,OneStrike,,,80439375.0,ns,648
option prices varying strike,heston,OneStrike,,,80825713.0,ns,656
option prices varying strike,heston,OneStrike,,,82521374.0,ns,664
option prices varying strike,heston,OneStrike,,,87014703.0,ns,672
option prices varying strike,heston,OneStrike,,,83237443.0,ns,680
option prices varying strike,heston,OneStrike,,,84160431.0,ns,688
option prices varying strike,heston,OneStrike,,,84432757.0,ns,696
option prices varying strike,heston,OneStrike,,,85512459.0,ns,704
option prices varying strike,heston,OneStrike,,,86122818.0,ns,712
option prices varying strike,heston,OneStrike,,,87481947.0,ns,720
option prices varying strike,heston,OneStrike,,,89534044.0,ns,728
option prices varying strike,heston,OneStrike,,,93329406.0,ns,736
option prices varying strike,heston,OneStrike,,,92229900.0,ns,744
option prices varying strike,heston,OneStrike,,,114651941.0,ns,752
option prices varying strike,heston,OneStrike,,,92362313.0,ns,760
option prices varying strike,heston,OneStrike,,,92677044.0,ns,768
option prices varying strike,heston,OneStrike,,,94111680.0,ns,776
option prices varying strike,heston,OneStrike,,,94840450.0,ns,784
option prices varying strike,heston,OneStrike,,,96369896.0,ns,792
