group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,heston,SevenStrike,,,1735566.0,ns,5
option prices varying strike,heston,SevenStrike,,,2291918.0,ns,10
option prices varying strike,heston,SevenStrike,,,3441328.0,ns,15
option prices varying strike,heston,SevenStrike,,,4751153.0,ns,20
option prices varying strike,heston,SevenStrike,,,5732647.0,ns,25
option prices varying strike,heston,SevenStrike,,,6904858.0,ns,30
option prices varying strike,heston,SevenStrike,,,7987761.0,ns,35
option prices varying strike,heston,SevenStrike,,,9187675.0,ns,40
option prices varying strike,heston,SevenStrike,,,10314084.0,ns,45
option prices varying strike,heston,SevenStrike,,,11429289.0,ns,50
option prices varying strike,heston,SevenStrike,,,12585400.0,ns,55
option prices varying strike,heston,SevenStrike,,,13740710.0,ns,60
option prices varying strike,heston,SevenStrike,,,14963626.0,ns,65
option prices varying strike,heston,SevenStrike,,,15876814.0,ns,70
option prices varying strike,heston,SevenStrike,,,17015522.0,ns,75
option prices varying strike,heston,SevenStrike,,,18165631.0,ns,80
option prices varying strike,heston,SevenStrike,,,19466156.0,ns,85
option prices varying strike,heston,SevenStrike,,,20567161.0,ns,90
option prices varying strike,heston,SevenStrike,,,21682467.0,ns,95
option prices varying strike,heston,SevenStrike,,,22807274.0,ns,100
option prices varying strike,heston,SevenStrike,,,23958384.0,ns,105
option prices varying strike,heston,SevenStrike,,,25157398.0,ns,110
option prices varying strike,heston,SevenStrike,,,26363013.0,ns,115
option prices varying strike,heston,SevenStrike,,,27628734.0,ns,120
option prices varying strike,heston,SevenStrike,,,28481515.0,ns,125
option prices varying strike,heston,SevenStrike,,,29678329.0,ns,130
option prices varying strike,heston,SevenStrike,,,32131363.0,ns,135
option prices varying strike,heston,SevenStrike,,,32318481.0,ns,140
option prices varying strike,heston,SevenStrike,,,33147260.0,ns,145
option prices varying strike,heston,SevenStrike,,,34509689.0,ns,150
option prices varying strike,heston,SevenStrike,,,35250061.0,ns,155
option prices varying strike,heston,SevenStrike,,,36619891.0,ns,160
option prices varying strike,heston,SevenStrike,,,37500274.0,ns,165
option prices varying strike,heston,SevenStrike,,,38859905.0,ns,170
option prices varying strike,heston,SevenStrike,,,40070820.0,ns,175
option prices varying strike,heston,SevenStrike,,,41053713.0,ns,180
option prices varying strike,heston,SevenStrike,,,42647466.0,ns,185
option prices varying strike,heston,SevenStrike,,,43481845.0,ns,190
option prices varying strike,heston,SevenStrike,,,44515443.0,ns,195
option prices varying strike,heston,SevenStrike,,,45612848.0,ns,200
option prices varying strike,heston,SevenStrike,,,46898171.0,ns,205
option prices varying strike,heston,SevenStrike,,,48131988.0,ns,210
option prices varying strike,heston,SevenStrike,,,49200290.0,ns,215
option prices varying strike,heston,SevenStrike,,,50530617.0,ns,220
option prices varying strike,heston,SevenStrike,,,51587317.0,ns,225
option prices varying strike,heston,SevenStrike,,,52538309.0,ns,230
option prices varying strike,heston,SevenStrike,,,53623211.0,ns,235
option prices varying strike,heston,SevenStrike,,,55071250.0,ns,240
option prices varying strike,heston,SevenStrike,,,55941233.0,ns,245
option prices varying strike,heston,SevenStrike,,,57577688.0,ns,250
option prices varying strike,heston,SevenStrike,,,58667193.0,ns,255
option prices varying strike,heston,SevenStrike,,,59460668.0,ns,260
option prices varying strike,heston,SevenStrike,,,60612978.0,ns,265
option prices varying strike,heston,SevenStrike,,,61516764.0,ns,270
option prices varying strike,heston,SevenStrike,,,62586766.0,ns,275
option prices varying strike,heston,SevenStrike,,,63949796.0,ns,280
option prices varying strike,heston,SevenStrike,,,65098405.0,ns,285
option prices varying strike,heston,SevenStrike,,,66486138.0,ns,290
option prices varying strike,heston,SevenStrike,,,67516837.0,ns,295
option prices varying strike,heston,SevenStrike,,,68522432.0,ns,300
option prices varying strike,heston,SevenStrike,,,69776451.0,ns,305
option prices varying strike,heston,SevenStrike,,,71111979.0,ns,310
option prices varying strike,heston,SevenStrike,,,71785743.0,ns,315
option prices varying strike,heston,SevenStrike,,,72643725.0,ns,320
option prices varying strike,heston,SevenStrike,,,74233776.0,ns,325
option prices varying strike,heston,SevenStrike,,,75246974.0,ns,330
option prices varying strike,heston,SevenStrike,,,76164860.0,ns,335
option prices varying strike,heston,SevenStrike,,,77538392.0,ns,340
