group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,heston,SixtyStrike,,,1838375.0,ns,1
option prices varying strike,heston,SixtyStrike,,,2325120.0,ns,2
option prices varying strike,heston,SixtyStrike,,,3404624.0,ns,3
option prices varying strike,heston,SixtyStrike,,,4584435.0,ns,4
option prices varying strike,heston,SixtyStrike,,,5714042.0,ns,5
option prices varying strike,heston,SixtyStrike,,,6969861.0,ns,6
option prices varying strike,heston,SixtyStrike,,,8183577.0,ns,7
option prices varying strike,heston,SixtyStrike,,,9280180.0,ns,8
option prices varying strike,heston,SixtyStrike,,,10303978.0,ns,9
option prices varying strike,heston,SixtyStrike,,,11550296.0,ns,10
option prices varying strike,heston,SixtyStrike,,,12757210.0,ns,11
option prices varying strike,heston,SixtyStrike,,,13723702.0,ns,12
option prices varying strike,heston,SixtyStrike,,,14878812.0,ns,13
option prices varying strike,heston,SixtyStrike,,,16050423.0,ns,14
option prices varying strike,heston,SixtyStrike,,,17309642.0,ns,15
option prices varying strike,heston,SixtyStrike,,,18334140.0,ns,16
option prices varying strike,heston,SixtyStrike,,,19710270.0,ns,17
option prices varying strike,heston,SixtyStrike,,,21341925.0,ns,18
option prices varying strike,heston,SixtyStrike,,,22268413.0,ns,19
option prices varying strike,heston,SixtyStrike,,,23259607.0,ns,20
option prices varying strike,heston,SixtyStrike,,,24320608.0,ns,21
option prices varying strike,heston,SixtyStrike,,,25432613.0,ns,22
option prices varying strike,heston,SixtyStrike,,,26464111.0,ns,23
option prices varying strike,heston,SixtyStrike,,,27537313.0,ns,24
option prices varying strike,heston,SixtyStrike,,,28971749.0,ns,25
option prices varying strike,heston,SixtyStrike,,,29849732.0,ns,26
option prices varying strike,heston,SixtyStrike,,,30986640.0,ns,27
option prices varying strike,heston,SixtyStrike,,,32363071.0,ns,28
option prices varying strike,heston,SixtyStrike,,,33424771.0,ns,29
option prices varying strike,heston,SixtyStrike,,,34488173.0,ns,30
option prices varying strike,heston,SixtyStrike,,,35718389.0,ns,31
option prices varying strike,heston,SixtyStrike,,,37183228.0,ns,32
option prices varying strike,heston,SixtyStrike,,,37930699.0,ns,33
option prices varying strike,heston,SixtyStrike,,,39014101.0,ns,34
option prices varying strike,heston,SixtyStrike,,,40313725.0,ns,35
option prices varying strike,heston,SixtyStrike,,,49549302.0,ns,36
option prices varying strike,heston,SixtyStrike,,,42624044.0,ns,37
option prices varying strike,heston,SixtyStrike,,,43612338.0,ns,38
option prices varying strike,heston,SixtyStrike,,,45101780.0,ns,39
option prices varying strike,heston,SixtyStrike,,,46137277.0,ns,40
option prices varying strike,heston,SixtyStrike,,,47126972.0,ns,41
option prices varying strike,heston,SixtyStrike,,,48602311.0,ns,42
option prices varying strike,heston,SixtyStrike,,,50044649.0,ns,43
option prices varying strike,heston,SixtyStrike,,,50894829.0,ns,44
option prices varying strike,heston,SixtyStrike,,,51837318.0,ns,45
option prices varying strike,heston,SixtyStrike,,,53550281.0,ns,46
option prices varying strike,heston,SixtyStrike,,,53816706.0,ns,47
option prices varying strike,heston,SixtyStrike,,,55504867.0,ns,48
option prices varying strike,heston,SixtyStrike,,,56565167.0,ns,49
option prices varying strike,heston,SixtyStrike,,,57880992.0,ns,50
option prices varying strike,heston,SixtyStrike,,,58526653.0,ns,51
option prices varying strike,heston,SixtyStrike,,,59828277.0,ns,52
option prices varying strike,heston,SixtyStrike,,,60657955.0,ns,53
option prices varying strike,heston,SixtyStrike,,,62141096.0,ns,54
option prices varying strike,heston,SixtyStrike,,,63523428.0,ns,55
option prices varying strike,heston,SixtyStrike,,,64662535.0,ns,56
option prices varying strike,heston,SixtyStrike,,,65614226.0,ns,57
option prices varying strike,heston,SixtyStrike,,,66874645.0,ns,58
option prices varying strike,heston,SixtyStrike,,,67805233.0,ns,59
option prices varying strike,heston,SixtyStrike,,,69537298.0,ns,60
option prices varying strike,heston,SixtyStrike,,,70198761.0,ns,61
option prices varying strike,heston,SixtyStrike,,,71854218.0,ns,62
option prices varying strike,heston,SixtyStrike,,,72536082.0,ns,63
option prices varying strike,heston,SixtyStrike,,,73572981.0,ns,64
option prices varying strike,heston,SixtyStrike,,,74817399.0,ns,65
option prices varying strike,heston,SixtyStrike,,,76138624.0,ns,66
option prices varying strike,heston,SixtyStrike,,,76836191.0,ns,67
option prices varying strike,heston,SixtyStrike,,,78659363.0,ns,68
option prices varying strike,heston,SixtyStrike,,,79705163.0,ns,69
option prices varying strike,heston,SixtyStrike,,,80747461.0,ns,70
option prices varying strike,heston,SixtyStrike,,,81655648.0,ns,71
option prices varying strike,heston,SixtyStrike,,,82525730.0,ns,72
option prices varying strike,heston,SixtyStrike,,,84401108.0,ns,73
option prices varying strike,heston,SixtyStrike,,,85096174.0,ns,74
option prices varying strike,heston,SixtyStrike,,,86938349.0,ns,75
option prices varying strike,heston,SixtyStrike,,,87609013.0,ns,76
option prices varying strike,heston,SixtyStrike,,,88556302.0,ns,77
option prices varying strike,heston,SixtyStrike,,,89659607.0,ns,78
option prices varying strike,heston,SixtyStrike,,,90994433.0,ns,79
option prices varying strike,heston,SixtyStrike,,,92363964.0,ns,80
option prices varying strike,heston,SixtyStrike,,,93789999.0,ns,81
option prices varying strike,heston,SixtyStrike,,,94213339.0,ns,82
option prices varying strike,heston,SixtyStrike,,,95419554.0,ns,83
option prices varying strike,heston,SixtyStrike,,,97297532.0,ns,84
option prices varying strike,heston,SixtyStrike,,,97847284.0,ns,85
option prices varying strike,heston,SixtyStrike,,,99437535.0,ns,86
option prices varying strike,heston,SixtyStrike,,,101388320.0,ns,87
option prices varying strike,heston,SixtyStrike,,,102327809.0,ns,88
option prices varying strike,heston,SixtyStrike,,,102537129.0,ns,89
option prices varying strike,heston,SixtyStrike,,,103273599.0,ns,90
option prices varying strike,heston,SixtyStrike,,,105510982.0,ns,91
