group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,OneStrike,,,1234409.0,ns,8
option prices varying strike,merton,OneStrike,,,2214416.0,ns,16
option prices varying strike,merton,OneStrike,,,3010221.0,ns,24
option prices varying strike,merton,OneStrike,,,4191330.0,ns,32
option prices varying strike,merton,OneStrike,,,5469538.0,ns,40
option prices varying strike,merton,OneStrike,,,6346345.0,ns,48
option prices varying strike,merton,OneStrike,,,7425853.0,ns,56
option prices varying strike,merton,OneStrike,,,8129758.0,ns,64
option prices varying strike,merton,OneStrike,,,9132665.0,ns,72
option prices varying strike,merton,OneStrike,,,10775876.0,ns,80
option prices varying strike,merton,OneStrike,,,11787384.0,ns,88
option prices varying strike,merton,OneStrike,,,12459888.0,ns,96
option prices varying strike,merton,OneStrike,,,14441303.0,ns,104
option prices varying strike,merton,OneStrike,,,15115207.0,ns,112
option prices varying strike,merton,OneStrike,,,15881212.0,ns,120
option prices varying strike,merton,OneStrike,,,16831520.0,ns,128
option prices varying strike,merton,OneStrike,,,26101785.0,ns,136
option prices varying strike,merton,OneStrike,,,19662739.0,ns,144
option prices varying strike,merton,OneStrike,,,20744948.0,ns,152
option prices varying strike,merton,OneStrike,,,20825447.0,ns,160
option prices varying strike,merton,OneStrike,,,23698468.0,ns,168
option prices varying strike,merton,OneStrike,,,24537974.0,ns,176
option prices varying strike,merton,OneStrike,,,26300687.0,ns,184
option prices varying strike,merton,OneStrike,,,27155293.0,ns,192
option prices varying strike,merton,OneStrike,,,29475709.0,ns,200
option prices varying strike,merton,OneStrike,,,30094013.0,ns,208
option prices varying strike,merton,OneStrike,,,30091714.0,ns,216
option prices varying strike,merton,OneStrike,,,32257829.0,ns,224
option prices varying strike,merton,OneStrike,,,32540830.0,ns,232
option prices varying strike,merton,OneStrike,,,32842833.0,ns,240
option prices varying strike,merton,OneStrike,,,36462159.0,ns,248
option prices varying strike,merton,OneStrike,,,33061435.0,ns,256
option prices varying strike,merton,OneStrike,,,36751360.0,ns,264
option prices varying strike,merton,OneStrike,,,35616553.0,ns,272
option prices varying strike,merton,OneStrike,,,36697460.0,ns,280
option prices varying strike,merton,OneStrike,,,42956705.0,ns,288
option prices varying strike,merton,OneStrike,,,40657388.0,ns,296
option prices varying strike,merton,OneStrike,,,44051813.0,ns,304
option prices varying strike,merton,OneStrike,,,42897204.0,ns,312
option prices varying strike,merton,OneStrike,,,43311907.0,ns,320
option prices varying strike,merton,OneStrike,,,45380022.0,ns,328
option prices varying strike,merton,OneStrike,,,43760011.0,ns,336
option prices varying strike,merton,OneStrike,,,46985033.0,ns,344
option prices varying strike,merton,OneStrike,,,47253035.0,ns,352
option prices varying strike,merton,OneStrike,,,46599231.0,ns,360
option prices varying strike,merton,OneStrike,,,49087148.0,ns,368
option prices varying strike,merton,OneStrike,,,54974190.0,ns,376
option prices varying strike,merton,OneStrike,,,50915561.0,ns,384
option prices varying strike,merton,OneStrike,,,58550515.0,ns,392
option prices varying strike,merton,OneStrike,,,53472980.0,ns,400
option prices varying strike,merton,OneStrike,,,55291692.0,ns,408
option prices varying strike,merton,OneStrike,,,53481479.0,ns,416
option prices varying strike,merton,OneStrike,,,63819653.0,ns,424
option prices varying strike,merton,OneStrike,,,57132805.0,ns,432
option prices varying strike,merton,OneStrike,,,61021633.0,ns,440
option prices varying strike,merton,OneStrike,,,61728538.0,ns,448
option prices varying strike,merton,OneStrike,,,65143762.0,ns,456
option prices varying strike,merton,OneStrike,,,66072969.0,ns,464
option prices varying strike,merton,OneStrike,,,67158276.0,ns,472
option prices varying strike,merton,OneStrike,,,62588644.0,ns,480
option prices varying strike,merton,OneStrike,,,64456257.0,ns,488
option prices varying strike,merton,OneStrike,,,68591187.0,ns,496
option prices varying strike,merton,OneStrike,,,64759859.0,ns,504
