group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,OneStrike,,,1610031.0,ns,8
option prices varying strike,merton,OneStrike,,,2057139.0,ns,16
option prices varying strike,merton,OneStrike,,,3110860.0,ns,24
option prices varying strike,merton,OneStrike,,,4082279.0,ns,32
option prices varying strike,merton,OneStrike,,,5167700.0,ns,40
option prices varying strike,merton,OneStrike,,,6223420.0,ns,48
option prices varying strike,merton,OneStrike,,,7266640.0,ns,56
option prices varying strike,merton,OneStrike,,,8262660.0,ns,64
option prices varying strike,merton,OneStrike,,,9317879.0,ns,72
option prices varying strike,merton,OneStrike,,,10362300.0,ns,80
option prices varying strike,merton,OneStrike,,,11382520.0,ns,88
option prices varying strike,merton,OneStrike,,,12336138.0,ns,96
option prices varying strike,merton,OneStrike,,,13386458.0,ns,104
option prices varying strike,merton,OneStrike,,,14438079.0,ns,112
option prices varying strike,merton,OneStrike,,,15577601.0,ns,120
option prices varying strike,merton,OneStrike,,,16598520.0,ns,128
option prices varying strike,merton,OneStrike,,,17608740.0,ns,136
option prices varying strike,merton,OneStrike,,,18713761.0,ns,144
option prices varying strike,merton,OneStrike,,,19664579.0,ns,152
option prices varying strike,merton,OneStrike,,,20725200.0,ns,160
option prices varying strike,merton,OneStrike,,,21801721.0,ns,168
option prices varying strike,merton,OneStrike,,,22733239.0,ns,176
option prices varying strike,merton,OneStrike,,,23797059.0,ns,184
option prices varying strike,merton,OneStrike,,,24765978.0,ns,192
option prices varying strike,merton,OneStrike,,,25875799.0,ns,200
option prices varying strike,merton,OneStrike,,,27313127.0,ns,208
option prices varying strike,merton,OneStrike,,,28023841.0,ns,216
option prices varying strike,merton,OneStrike,,,28851657.0,ns,224
option prices varying strike,merton,OneStrike,,,29895776.0,ns,232
option prices varying strike,merton,OneStrike,,,30967098.0,ns,240
option prices varying strike,merton,OneStrike,,,32785533.0,ns,248
option prices varying strike,merton,OneStrike,,,33279142.0,ns,256
option prices varying strike,merton,OneStrike,,,34367263.0,ns,264
option prices varying strike,merton,OneStrike,,,35194879.0,ns,272
option prices varying strike,merton,OneStrike,,,36416603.0,ns,280
option prices varying strike,merton,OneStrike,,,37407322.0,ns,288
option prices varying strike,merton,OneStrike,,,38197837.0,ns,296
option prices varying strike,merton,OneStrike,,,39303358.0,ns,304
option prices varying strike,merton,OneStrike,,,40316178.0,ns,312
option prices varying strike,merton,OneStrike,,,41467700.0,ns,320
option prices varying strike,merton,OneStrike,,,42519921.0,ns,328
option prices varying strike,merton,OneStrike,,,43597741.0,ns,336
option prices varying strike,merton,OneStrike,,,44693963.0,ns,344
option prices varying strike,merton,OneStrike,,,45474177.0,ns,352
option prices varying strike,merton,OneStrike,,,46779403.0,ns,360
option prices varying strike,merton,OneStrike,,,47951525.0,ns,368
option prices varying strike,merton,OneStrike,,,48840743.0,ns,376
option prices varying strike,merton,OneStrike,,,49847461.0,ns,384
option prices varying strike,merton,OneStrike,,,50724079.0,ns,392
option prices varying strike,merton,OneStrike,,,51606496.0,ns,400
option prices varying strike,merton,OneStrike,,,52860720.0,ns,408
option prices varying strike,merton,OneStrike,,,53641135.0,ns,416
option prices varying strike,merton,OneStrike,,,55018962.0,ns,424
option prices varying strike,merton,OneStrike,,,56407888.0,ns,432
option prices varying strike,merton,OneStrike,,,57005200.0,ns,440
option prices varying strike,merton,OneStrike,,,58015920.0,ns,448
option prices varying strike,merton,OneStrike,,,58935837.0,ns,456
option prices varying strike,merton,OneStrike,,,60135360.0,ns,464
option prices varying strike,merton,OneStrike,,,61050679.0,ns,472
option prices varying strike,merton,OneStrike,,,62180099.0,ns,480
option prices varying strike,merton,OneStrike,,,62996816.0,ns,488
option prices varying strike,merton,OneStrike,,,64284740.0,ns,496
option prices varying strike,merton,OneStrike,,,65162258.0,ns,504
option prices varying strike,merton,OneStrike,,,66291779.0,ns,512
option prices varying strike,merton,OneStrike,,,67482202.0,ns,520
option prices varying strike,merton,OneStrike,,,68247117.0,ns,528
option prices varying strike,merton,OneStrike,,,69525642.0,ns,536
option prices varying strike,merton,OneStrike,,,70271156.0,ns,544
option prices varying strike,merton,OneStrike,,,71637682.0,ns,552
option prices varying strike,merton,OneStrike,,,72383597.0,ns,560
option prices varying strike,merton,OneStrike,,,73439417.0,ns,568
option prices varying strike,merton,OneStrike,,,73949327.0,ns,576
option prices varying strike,merton,OneStrike,,,75088149.0,ns,584
option prices varying strike,merton,OneStrike,,,76808082.0,ns,592
option prices varying strike,merton,OneStrike,,,77579397.0,ns,600
option prices varying strike,merton,OneStrike,,,78491715.0,ns,608
option prices varying strike,merton,OneStrike,,,79564835.0,ns,616
option prices varying strike,merton,OneStrike,,,80970962.0,ns,624
option prices varying strike,merton,OneStrike,,,81744578.0,ns,632
option prices varying strike,merton,OneStrike,,,82663495.0,ns,640
option prices varying strike,merton,OneStrike,,,83824217.0,ns,648
option prices varying strike,merton,OneStrike,,,85189844.0,ns,656
option prices varying strike,merton,OneStrike,,,86482969.0,ns,664
option prices varying strike,merton,OneStrike,,,87118381.0,ns,672
option prices varying strike,merton,OneStrike,,,87942497.0,ns,680
option prices varying strike,merton,OneStrike,,,88767313.0,ns,688
option prices varying strike,merton,OneStrike,,,89954136.0,ns,696
option prices varying strike,merton,OneStrike,,,90889554.0,ns,704
option prices varying strike,merton,OneStrike,,,91874873.0,ns,712
option prices varying strike,merton,OneStrike,,,93477403.0,ns,720
option prices varying strike,merton,OneStrike,,,94248619.0,ns,728
option prices varying strike,merton,OneStrike,,,95104235.0,ns,736
option prices varying strike,merton,OneStrike,,,96105655.0,ns,744
option prices varying strike,merton,OneStrike,,,97270777.0,ns,752
option prices varying strike,merton,OneStrike,,,98278896.0,ns,760
option prices varying strike,merton,OneStrike,,,99108212.0,ns,768
option prices varying strike,merton,OneStrike,,,100447039.0,ns,776
option prices varying strike,merton,OneStrike,,,103323194.0,ns,784
option prices varying strike,merton,OneStrike,,,102210472.0,ns,792
option prices varying strike,merton,OneStrike,,,103994407.0,ns,800
