group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,SevenStrike,,,1349207.0,ns,5
option prices varying strike,merton,SevenStrike,,,2013111.0,ns,10
option prices varying strike,merton,SevenStrike,,,3120817.0,ns,15
option prices varying strike,merton,SevenStrike,,,4403524.0,ns,20
option prices varying strike,merton,SevenStrike,,,5132229.0,ns,25
option prices varying strike,merton,SevenStrike,,,6574135.0,ns,30
option prices varying strike,merton,SevenStrike,,,7182440.0,ns,35
option prices varying strike,merton,SevenStrike,,,8536646.0,ns,40
option prices varying strike,merton,SevenStrike,,,9280251.0,ns,45
option prices varying strike,merton,SevenStrike,,,10418657.0,ns,50
option prices varying strike,merton,SevenStrike,,,11351962.0,ns,55
option prices varying strike,merton,SevenStrike,,,13778475.0,ns,60
option prices varying strike,merton,SevenStrike,,,14545280.0,ns,65
option prices varying strike,merton,SevenStrike,,,14639080.0,ns,70
option prices varying strike,merton,SevenStrike,,,15288883.0,ns,75
option prices varying strike,merton,SevenStrike,,,16640791.0,ns,80
option prices varying strike,merton,SevenStrike,,,17383995.0,ns,85
option prices varying strike,merton,SevenStrike,,,18927604.0,ns,90
option prices varying strike,merton,SevenStrike,,,19822208.0,ns,95
option prices varying strike,merton,SevenStrike,,,21481218.0,ns,100
option prices varying strike,merton,SevenStrike,,,22856824.0,ns,105
option prices varying strike,merton,SevenStrike,,,23504329.0,ns,110
option prices varying strike,merton,SevenStrike,,,23425628.0,ns,115
option prices varying strike,merton,SevenStrike,,,27921653.0,ns,120
option prices varying strike,merton,SevenStrike,,,25798041.0,ns,125
option prices varying strike,merton,SevenStrike,,,31400171.0,ns,130
option prices varying strike,merton,SevenStrike,,,28170754.0,ns,135
option prices varying strike,merton,SevenStrike,,,28977858.0,ns,140
option prices varying strike,merton,SevenStrike,,,30011664.0,ns,145
option prices varying strike,merton,SevenStrike,,,30699368.0,ns,150
option prices varying strike,merton,SevenStrike,,,35650295.0,ns,155
option prices varying strike,merton,SevenStrike,,,33213982.0,ns,160
option prices varying strike,merton,SevenStrike,,,34787090.0,ns,165
option prices varying strike,merton,SevenStrike,,,35939296.0,ns,170
option prices varying strike,merton,SevenStrike,,,37303104.0,ns,175
option prices varying strike,merton,SevenStrike,,,37392804.0,ns,180
option prices varying strike,merton,SevenStrike,,,38665112.0,ns,185
option prices varying strike,merton,SevenStrike,,,44679244.0,ns,190
option prices varying strike,merton,SevenStrike,,,41335126.0,ns,195
option prices varying strike,merton,SevenStrike,,,42443632.0,ns,200
