group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,SevenStrike,,,1776134.0,ns,5
option prices varying strike,merton,SevenStrike,,,2378846.0,ns,10
option prices varying strike,merton,SevenStrike,,,3758572.0,ns,15
option prices varying strike,merton,SevenStrike,,,4784993.0,ns,20
option prices varying strike,merton,SevenStrike,,,6025416.0,ns,25
option prices varying strike,merton,SevenStrike,,,7229839.0,ns,30
option prices varying strike,merton,SevenStrike,,,8411662.0,ns,35
option prices varying strike,merton,SevenStrike,,,9489182.0,ns,40
option prices varying strike,merton,SevenStrike,,,10871610.0,ns,45
option prices varying strike,merton,SevenStrike,,,12827247.0,ns,50
option prices varying strike,merton,SevenStrike,,,13471959.0,ns,55
option prices varying strike,merton,SevenStrike,,,14256374.0,ns,60
option prices varying strike,merton,SevenStrike,,,15548300.0,ns,65
option prices varying strike,merton,SevenStrike,,,17415835.0,ns,70
option prices varying strike,merton,SevenStrike,,,17908145.0,ns,75
option prices varying strike,merton,SevenStrike,,,19245170.0,ns,80
option prices varying strike,merton,SevenStrike,,,20130187.0,ns,85
option prices varying strike,merton,SevenStrike,,,21623117.0,ns,90
option prices varying strike,merton,SevenStrike,,,22734037.0,ns,95
option prices varying strike,merton,SevenStrike,,,24207566.0,ns,100
option prices varying strike,merton,SevenStrike,,,25286887.0,ns,105
option prices varying strike,merton,SevenStrike,,,26270506.0,ns,110
option prices varying strike,merton,SevenStrike,,,27113822.0,ns,115
option prices varying strike,merton,SevenStrike,,,28666952.0,ns,120
option prices varying strike,merton,SevenStrike,,,29486967.0,ns,125
option prices varying strike,merton,SevenStrike,,,30969496.0,ns,130
option prices varying strike,merton,SevenStrike,,,32345823.0,ns,135
option prices varying strike,merton,SevenStrike,,,33386243.0,ns,140
option prices varying strike,merton,SevenStrike,,,34655567.0,ns,145
option prices varying strike,merton,SevenStrike,,,35646786.0,ns,150
option prices varying strike,merton,SevenStrike,,,37085014.0,ns,155
option prices varying strike,merton,SevenStrike,,,38181035.0,ns,160
option prices varying strike,merton,SevenStrike,,,39473160.0,ns,165
option prices varying strike,merton,SevenStrike,,,40605481.0,ns,170
option prices varying strike,merton,SevenStrike,,,42065410.0,ns,175
option prices varying strike,merton,SevenStrike,,,43024628.0,ns,180
option prices varying strike,merton,SevenStrike,,,44375354.0,ns,185
option prices varying strike,merton,SevenStrike,,,45232671.0,ns,190
option prices varying strike,merton,SevenStrike,,,46719299.0,ns,195
option prices varying strike,merton,SevenStrike,,,47916223.0,ns,200
option prices varying strike,merton,SevenStrike,,,48844040.0,ns,205
option prices varying strike,merton,SevenStrike,,,50111764.0,ns,210
option prices varying strike,merton,SevenStrike,,,51702396.0,ns,215
option prices varying strike,merton,SevenStrike,,,55866175.0,ns,220
option prices varying strike,merton,SevenStrike,,,53356727.0,ns,225
option prices varying strike,merton,SevenStrike,,,54760554.0,ns,230
option prices varying strike,merton,SevenStrike,,,56251983.0,ns,235
option prices varying strike,merton,SevenStrike,,,57216501.0,ns,240
option prices varying strike,merton,SevenStrike,,,58092619.0,ns,245
option prices varying strike,merton,SevenStrike,,,58690929.0,ns,250
option prices varying strike,merton,SevenStrike,,,60823371.0,ns,255
option prices varying strike,merton,SevenStrike,,,62160197.0,ns,260
option prices varying strike,merton,SevenStrike,,,62583104.0,ns,265
option prices varying strike,merton,SevenStrike,,,64062833.0,ns,270
option prices varying strike,merton,SevenStrike,,,64502042.0,ns,275
option prices varying strike,merton,SevenStrike,,,66319877.0,ns,280
option prices varying strike,merton,SevenStrike,,,68022309.0,ns,285
option prices varying strike,merton,SevenStrike,,,68701822.0,ns,290
option prices varying strike,merton,SevenStrike,,,70023348.0,ns,295
option prices varying strike,merton,SevenStrike,,,71955585.0,ns,300
option prices varying strike,merton,SevenStrike,,,72806402.0,ns,305
option prices varying strike,merton,SevenStrike,,,73778720.0,ns,310
option prices varying strike,merton,SevenStrike,,,74602936.0,ns,315
option prices varying strike,merton,SevenStrike,,,75979763.0,ns,320
option prices varying strike,merton,SevenStrike,,,77076583.0,ns,325
option prices varying strike,merton,SevenStrike,,,78749716.0,ns,330
option prices varying strike,merton,SevenStrike,,,79696534.0,ns,335
option prices varying strike,merton,SevenStrike,,,80771355.0,ns,340
option prices varying strike,merton,SevenStrike,,,82314785.0,ns,345
option prices varying strike,merton,SevenStrike,,,83240202.0,ns,350
option prices varying strike,merton,SevenStrike,,,84274522.0,ns,355
option prices varying strike,merton,SevenStrike,,,85379544.0,ns,360
option prices varying strike,merton,SevenStrike,,,87341781.0,ns,365
option prices varying strike,merton,SevenStrike,,,87876791.0,ns,370
option prices varying strike,merton,SevenStrike,,,89470223.0,ns,375
option prices varying strike,merton,SevenStrike,,,91062853.0,ns,380
option prices varying strike,merton,SevenStrike,,,92687484.0,ns,385
option prices varying strike,merton,SevenStrike,,,93373006.0,ns,390
option prices varying strike,merton,SevenStrike,,,98150101.0,ns,395
option prices varying strike,merton,SevenStrike,,,95082142.0,ns,400
option prices varying strike,merton,SevenStrike,,,95722654.0,ns,405
option prices varying strike,merton,SevenStrike,,,97838996.0,ns,410
option prices varying strike,merton,SevenStrike,,,100036537.0,ns,415
option prices varying strike,merton,SevenStrike,,,100428446.0,ns,420
option prices varying strike,merton,SevenStrike,,,101527567.0,ns,425
option prices varying strike,merton,SevenStrike,,,104967833.0,ns,430
option prices varying strike,merton,SevenStrike,,,103635207.0,ns,435
option prices varying strike,merton,SevenStrike,,,103609008.0,ns,440
option prices varying strike,merton,SevenStrike,,,104483423.0,ns,445
option prices varying strike,merton,SevenStrike,,,106760469.0,ns,450
option prices varying strike,merton,SevenStrike,,,108017892.0,ns,455
option prices varying strike,merton,SevenStrike,,,108731506.0,ns,460
