group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,SixtyStrike,,,1660525.0,ns,1
option prices varying strike,merton,SixtyStrike,,,2298473.0,ns,2
option prices varying strike,merton,SixtyStrike,,,3409357.0,ns,3
option prices varying strike,merton,SixtyStrike,,,4633449.0,ns,4
option prices varying strike,merton,SixtyStrike,,,5688929.0,ns,5
option prices varying strike,merton,SixtyStrike,,,6849016.0,ns,6
option prices varying strike,merton,SixtyStrike,,,8015203.0,ns,7
option prices varying strike,merton,SixtyStrike,,,9145289.0,ns,8
option prices varying strike,merton,SixtyStrike,,,10285675.0,ns,9
option prices varying strike,merton,SixtyStrike,,,11539669.0,ns,10
option prices varying strike,merton,SixtyStrike,,,12619751.0,ns,11
option prices varying strike,merton,SixtyStrike,,,13694532.0,ns,12
option prices varying strike,merton,SixtyStrike,,,14897022.0,ns,13
option prices varying strike,merton,SixtyStrike,,,15979004.0,ns,14
option prices varying strike,merton,SixtyStrike,,,17125190.0,ns,15
option prices varying strike,merton,SixtyStrike,,,18285977.0,ns,16
option prices varying strike,merton,SixtyStrike,,,19485368.0,ns,17
option prices varying strike,merton,SixtyStrike,,,20830769.0,ns,18
option prices varying strike,merton,SixtyStrike,,,21776141.0,ns,19
option prices varying strike,merton,SixtyStrike,,,23066137.0,ns,20
option prices varying strike,merton,SixtyStrike,,,24035111.0,ns,21
option prices varying strike,merton,SixtyStrike,,,26126368.0,ns,22
option prices varying strike,merton,SixtyStrike,,,26290980.0,ns,23
option prices varying strike,merton,SixtyStrike,,,27408565.0,ns,24
option prices varying strike,merton,SixtyStrike,,,28865174.0,ns,25
option prices varying strike,merton,SixtyStrike,,,29845249.0,ns,26
option prices varying strike,merton,SixtyStrike,,,30831922.0,ns,27
option prices varying strike,merton,SixtyStrike,,,31925505.0,ns,28
option prices varying strike,merton,SixtyStrike,,,33090893.0,ns,29
option prices varying strike,merton,SixtyStrike,,,34265181.0,ns,30
option prices varying strike,merton,SixtyStrike,,,35457871.0,ns,31
option prices varying strike,merton,SixtyStrike,,,36335937.0,ns,32
option prices varying strike,merton,SixtyStrike,,,37514126.0,ns,33
option prices varying strike,merton,SixtyStrike,,,38746619.0,ns,34
option prices varying strike,merton,SixtyStrike,,,39936508.0,ns,35
option prices varying strike,merton,SixtyStrike,,,41890355.0,ns,36
option prices varying strike,merton,SixtyStrike,,,42261684.0,ns,37
option prices varying strike,merton,SixtyStrike,,,43462574.0,ns,38
option prices varying strike,merton,SixtyStrike,,,44409745.0,ns,39
option prices varying strike,merton,SixtyStrike,,,45823952.0,ns,40
option prices varying strike,merton,SixtyStrike,,,46679616.0,ns,41
option prices varying strike,merton,SixtyStrike,,,47793101.0,ns,42
option prices varying strike,merton,SixtyStrike,,,49227608.0,ns,43
option prices varying strike,merton,SixtyStrike,,,50129976.0,ns,44
option prices varying strike,merton,SixtyStrike,,,51288664.0,ns,45
option prices varying strike,merton,SixtyStrike,,,52535357.0,ns,46
option prices varying strike,merton,SixtyStrike,,,53807654.0,ns,47
option prices varying strike,merton,SixtyStrike,,,54755424.0,ns,48
option prices varying strike,merton,SixtyStrike,,,55994118.0,ns,49
option prices varying strike,merton,SixtyStrike,,,57496932.0,ns,50
option prices varying strike,merton,SixtyStrike,,,58167681.0,ns,51
option prices varying strike,merton,SixtyStrike,,,59111853.0,ns,52
option prices varying strike,merton,SixtyStrike,,,60280041.0,ns,53
option prices varying strike,merton,SixtyStrike,,,61546836.0,ns,54
option prices varying strike,merton,SixtyStrike,,,63294568.0,ns,55
option prices varying strike,merton,SixtyStrike,,,63921116.0,ns,56
option prices varying strike,merton,SixtyStrike,,,64987895.0,ns,57
option prices varying strike,merton,SixtyStrike,,,65958269.0,ns,58
option prices varying strike,merton,SixtyStrike,,,67169359.0,ns,59
option prices varying strike,merton,SixtyStrike,,,68589566.0,ns,60
option prices varying strike,merton,SixtyStrike,,,69421130.0,ns,61
option prices varying strike,merton,SixtyStrike,,,70614119.0,ns,62
option prices varying strike,merton,SixtyStrike,,,71968721.0,ns,63
option prices varying strike,merton,SixtyStrike,,,73027101.0,ns,64
option prices varying strike,merton,SixtyStrike,,,74378103.0,ns,65
option prices varying strike,merton,SixtyStrike,,,75133359.0,ns,66
option prices varying strike,merton,SixtyStrike,,,76584669.0,ns,67
option prices varying strike,merton,SixtyStrike,,,77384730.0,ns,68
option prices varying strike,merton,SixtyStrike,,,79769909.0,ns,69
option prices varying strike,merton,SixtyStrike,,,80003026.0,ns,70
option prices varying strike,merton,SixtyStrike,,,80993102.0,ns,71
option prices varying strike,merton,SixtyStrike,,,81906170.0,ns,72
option prices varying strike,merton,SixtyStrike,,,83223769.0,ns,73
option prices varying strike,merton,SixtyStrike,,,84205543.0,ns,74
option prices varying strike,merton,SixtyStrike,,,85612049.0,ns,75
option prices varying strike,merton,SixtyStrike,,,86736034.0,ns,76
option prices varying strike,merton,SixtyStrike,,,87758111.0,ns,77
option prices varying strike,merton,SixtyStrike,,,88689881.0,ns,78
option prices varying strike,merton,SixtyStrike,,,89810765.0,ns,79
option prices varying strike,merton,SixtyStrike,,,91104663.0,ns,80
option prices varying strike,merton,SixtyStrike,,,93176719.0,ns,81
option prices varying strike,merton,SixtyStrike,,,93514944.0,ns,82
option prices varying strike,merton,SixtyStrike,,,94488418.0,ns,83
option prices varying strike,merton,SixtyStrike,,,95564199.0,ns,84
option prices varying strike,merton,SixtyStrike,,,97025209.0,ns,85
option prices varying strike,merton,SixtyStrike,,,98194197.0,ns,86
option prices varying strike,merton,SixtyStrike,,,99388087.0,ns,87
option prices varying strike,merton,SixtyStrike,,,100230450.0,ns,88
option prices varying strike,merton,SixtyStrike,,,101294930.0,ns,89
option prices varying strike,merton,SixtyStrike,,,102495321.0,ns,90
option prices varying strike,merton,SixtyStrike,,,104900403.0,ns,91
option prices varying strike,merton,SixtyStrike,,,104690486.0,ns,92
option prices varying strike,merton,SixtyStrike,,,105893677.0,ns,93
option prices varying strike,merton,SixtyStrike,,,107273081.0,ns,94
option prices varying strike,merton,SixtyStrike,,,108557177.0,ns,95
option prices varying strike,merton,SixtyStrike,,,109520250.0,ns,96
option prices varying strike,merton,SixtyStrike,,,110410017.0,ns,97
option prices varying strike,merton,SixtyStrike,,,111695114.0,ns,98
option prices varying strike,merton,SixtyStrike,,,112842101.0,ns,99
option prices varying strike,merton,SixtyStrike,,,114958759.0,ns,100
