group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,merton,SixtyStrike,,,1744185.0,ns,1
option prices varying strike,merton,SixtyStrike,,,2251081.0,ns,2
option prices varying strike,merton,SixtyStrike,,,3310171.0,ns,3
option prices varying strike,merton,SixtyStrike,,,4242764.0,ns,4
option prices varying strike,merton,SixtyStrike,,,5170656.0,ns,5
option prices varying strike,merton,SixtyStrike,,,6784742.0,ns,6
option prices varying strike,merton,SixtyStrike,,,7441536.0,ns,7
option prices varying strike,merton,SixtyStrike,,,8770325.0,ns,8
option prices varying strike,merton,SixtyStrike,,,9337220.0,ns,9
option prices varying strike,merton,SixtyStrike,,,9973814.0,ns,10
option prices varying strike,merton,SixtyStrike,,,11983598.0,ns,11
option prices varying strike,merton,SixtyStrike,,,13591583.0,ns,12
option prices varying strike,merton,SixtyStrike,,,15002072.0,ns,13
option prices varying strike,merton,SixtyStrike,,,16048462.0,ns,14
option prices varying strike,merton,SixtyStrike,,,17611749.0,ns,15
option prices varying strike,merton,SixtyStrike,,,17520850.0,ns,16
option prices varying strike,merton,SixtyStrike,,,17811148.0,ns,17
option prices varying strike,merton,SixtyStrike,,,21244618.0,ns,18
option prices varying strike,merton,SixtyStrike,,,20799422.0,ns,19
option prices varying strike,merton,SixtyStrike,,,21508116.0,ns,20
option prices varying strike,merton,SixtyStrike,,,21958412.0,ns,21
option prices varying strike,merton,SixtyStrike,,,25020986.0,ns,22
option prices varying strike,merton,SixtyStrike,,,24818087.0,ns,23
option prices varying strike,merton,SixtyStrike,,,25633480.0,ns,24
option prices varying strike,merton,SixtyStrike,,,26029677.0,ns,25
option prices varying strike,merton,SixtyStrike,,,28746354.0,ns,26
option prices varying strike,merton,SixtyStrike,,,31436231.0,ns,27
option prices varying strike,merton,SixtyStrike,,,31870237.0,ns,28
option prices varying strike,merton,SixtyStrike,,,31599950.0,ns,29
option prices varying strike,merton,SixtyStrike,,,32296354.0,ns,30
option prices varying strike,merton,SixtyStrike,,,33242458.0,ns,31
option prices varying strike,merton,SixtyStrike,,,33615160.0,ns,32
option prices varying strike,merton,SixtyStrike,,,36117672.0,ns,33
option prices varying strike,merton,SixtyStrike,,,36730375.0,ns,34
option prices varying strike,merton,SixtyStrike,,,38280982.0,ns,35
option prices varying strike,merton,SixtyStrike,,,40637994.0,ns,36
option prices varying strike,merton,SixtyStrike,,,40648093.0,ns,37
option prices varying strike,merton,SixtyStrike,,,41455598.0,ns,38
option prices varying strike,merton,SixtyStrike,,,42096300.0,ns,39
option prices varying strike,merton,SixtyStrike,,,43269906.0,ns,40
option prices varying strike,merton,SixtyStrike,,,43123205.0,ns,41
option prices varying strike,merton,SixtyStrike,,,44659113.0,ns,42
option prices varying strike,merton,SixtyStrike,,,46738922.0,ns,43
option prices varying strike,merton,SixtyStrike,,,48141929.0,ns,44
option prices varying strike,merton,SixtyStrike,,,48213330.0,ns,45
option prices varying strike,merton,SixtyStrike,,,51296444.0,ns,46
option prices varying strike,merton,SixtyStrike,,,52561350.0,ns,47
option prices varying strike,merton,SixtyStrike,,,52027148.0,ns,48
option prices varying strike,merton,SixtyStrike,,,53873056.0,ns,49
option prices varying strike,merton,SixtyStrike,,,55141462.0,ns,50
option prices varying strike,merton,SixtyStrike,,,54798461.0,ns,51
option prices varying strike,merton,SixtyStrike,,,56048967.0,ns,52
option prices varying strike,merton,SixtyStrike,,,56348068.0,ns,53
option prices varying strike,merton,SixtyStrike,,,59239182.0,ns,54
option prices varying strike,merton,SixtyStrike,,,59946086.0,ns,55
option prices varying strike,merton,SixtyStrike,,,60122086.0,ns,56
option prices varying strike,merton,SixtyStrike,,,59553783.0,ns,57
option prices varying strike,merton,SixtyStrike,,,64504907.0,ns,58
option prices varying strike,merton,SixtyStrike,,,65406311.0,ns,59
option prices varying strike,merton,SixtyStrike,,,64994910.0,ns,60
option prices varying strike,merton,SixtyStrike,,,70614936.0,ns,61
option prices varying strike,merton,SixtyStrike,,,67653122.0,ns,62
option prices varying strike,merton,SixtyStrike,,,69715432.0,ns,63
option prices varying strike,merton,SixtyStrike,,,69265829.0,ns,64
option prices varying strike,merton,SixtyStrike,,,71607441.0,ns,65
option prices varying strike,merton,SixtyStrike,,,71101039.0,ns,66
option prices varying strike,merton,SixtyStrike,,,68855327.0,ns,67
option prices varying strike,merton,SixtyStrike,,,72572246.0,ns,68
option prices varying strike,merton,SixtyStrike,,,76060762.0,ns,69
option prices varying strike,merton,SixtyStrike,,,82402192.0,ns,70
option prices varying strike,merton,SixtyStrike,,,77369268.0,ns,71
option prices varying strike,merton,SixtyStrike,,,79548579.0,ns,72
option prices varying strike,merton,SixtyStrike,,,91776137.0,ns,73
option prices varying strike,merton,SixtyStrike,,,105065900.0,ns,74
option prices varying strike,merton,SixtyStrike,,,83209196.0,ns,75
option prices varying strike,merton,SixtyStrike,,,88157719.0,ns,76
option prices varying strike,merton,SixtyStrike,,,91410135.0,ns,77
option prices varying strike,merton,SixtyStrike,,,96097158.0,ns,78
option prices varying strike,merton,SixtyStrike,,,97613864.0,ns,79
option prices varying strike,merton,SixtyStrike,,,93025943.0,ns,80
option prices varying strike,merton,SixtyStrike,,,100698979.0,ns,81
option prices varying strike,merton,SixtyStrike,,,93028843.0,ns,82
option prices varying strike,merton,SixtyStrike,,,90679532.0,ns,83
option prices varying strike,merton,SixtyStrike,,,91165434.0,ns,84
option prices varying strike,merton,SixtyStrike,,,93493545.0,ns,85
option prices varying strike,merton,SixtyStrike,,,93989747.0,ns,86
option prices varying strike,merton,SixtyStrike,,,97738765.0,ns,87
option prices varying strike,merton,SixtyStrike,,,101141482.0,ns,88
option prices varying strike,merton,SixtyStrike,,,98642469.0,ns,89
option prices varying strike,merton,SixtyStrike,,,103021990.0,ns,90
option prices varying strike,merton,SixtyStrike,,,101335183.0,ns,91
option prices varying strike,merton,SixtyStrike,,,104430197.0,ns,92
option prices varying strike,merton,SixtyStrike,,,108911618.0,ns,93
option prices varying strike,merton,SixtyStrike,,,101912585.0,ns,94
option prices varying strike,merton,SixtyStrike,,,104718999.0,ns,95
option prices varying strike,merton,SixtyStrike,,,107137209.0,ns,96
option prices varying strike,merton,SixtyStrike,,,108998924.0,ns,97
option prices varying strike,merton,SixtyStrike,,,108640867.0,ns,98
option prices varying strike,merton,SixtyStrike,,,109401368.0,ns,99
option prices varying strike,merton,SixtyStrike,,,110829572.0,ns,100
