group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,vasicek,OneStrike,,,1242524.0,ns,9
option prices varying strike,vasicek,OneStrike,,,2176442.0,ns,18
option prices varying strike,vasicek,OneStrike,,,3275463.0,ns,27
option prices varying strike,vasicek,OneStrike,,,4337684.0,ns,36
option prices varying strike,vasicek,OneStrike,,,5450305.0,ns,45
option prices varying strike,vasicek,OneStrike,,,6559027.0,ns,54
option prices varying strike,vasicek,OneStrike,,,7701148.0,ns,63
option prices varying strike,vasicek,OneStrike,,,8920573.0,ns,72
option prices varying strike,vasicek,OneStrike,,,9732488.0,ns,81
option prices varying strike,vasicek,OneStrike,,,10998112.0,ns,90
option prices varying strike,vasicek,OneStrike,,,11983931.0,ns,99
option prices varying strike,vasicek,OneStrike,,,13173955.0,ns,108
option prices varying strike,vasicek,OneStrike,,,14307076.0,ns,117
option prices varying strike,vasicek,OneStrike,,,15507900.0,ns,126
option prices varying strike,vasicek,OneStrike,,,16336515.0,ns,135
option prices varying strike,vasicek,OneStrike,,,17485638.0,ns,144
option prices varying strike,vasicek,OneStrike,,,18322354.0,ns,153
option prices varying strike,vasicek,OneStrike,,,20044187.0,ns,162
option prices varying strike,vasicek,OneStrike,,,20967005.0,ns,171
option prices varying strike,vasicek,OneStrike,,,21964624.0,ns,180
option prices varying strike,vasicek,OneStrike,,,23160047.0,ns,189
option prices varying strike,vasicek,OneStrike,,,24286069.0,ns,198
option prices varying strike,vasicek,OneStrike,,,25449491.0,ns,207
option prices varying strike,vasicek,OneStrike,,,27242727.0,ns,216
option prices varying strike,vasicek,OneStrike,,,27495931.0,ns,225
option prices varying strike,vasicek,OneStrike,,,28865857.0,ns,234
option prices varying strike,vasicek,OneStrike,,,31769014.0,ns,243
option prices varying strike,vasicek,OneStrike,,,31671211.0,ns,252
option prices varying strike,vasicek,OneStrike,,,32209922.0,ns,261
option prices varying strike,vasicek,OneStrike,,,33115040.0,ns,270
option prices varying strike,vasicek,OneStrike,,,34852473.0,ns,279
option prices varying strike,vasicek,OneStrike,,,35316182.0,ns,288
option prices varying strike,vasicek,OneStrike,,,36314501.0,ns,297
option prices varying strike,vasicek,OneStrike,,,37243819.0,ns,306
option prices varying strike,vasicek,OneStrike,,,38407442.0,ns,315
option prices varying strike,vasicek,OneStrike,,,39623365.0,ns,324
option prices varying strike,vasicek,OneStrike,,,40615584.0,ns,333
option prices varying strike,vasicek,OneStrike,,,41708806.0,ns,342
option prices varying strike,vasicek,OneStrike,,,42772926.0,ns,351
option prices varying strike,vasicek,OneStrike,,,43790346.0,ns,360
option prices varying strike,vasicek,OneStrike,,,44770264.0,ns,369
option prices varying strike,vasicek,OneStrike,,,46076190.0,ns,378
option prices varying strike,vasicek,OneStrike,,,47095810.0,ns,387
option prices varying strike,vasicek,OneStrike,,,48606838.0,ns,396
option prices varying strike,vasicek,OneStrike,,,49303152.0,ns,405
option prices varying strike,vasicek,OneStrike,,,50357473.0,ns,414
option prices varying strike,vasicek,OneStrike,,,51638697.0,ns,423
option prices varying strike,vasicek,OneStrike,,,52722118.0,ns,432
option prices varying strike,vasicek,OneStrike,,,54283648.0,ns,441
option prices varying strike,vasicek,OneStrike,,,54767158.0,ns,450
option prices varying strike,vasicek,OneStrike,,,57659314.0,ns,459
option prices varying strike,vasicek,OneStrike,,,57283806.0,ns,468
option prices varying strike,vasicek,OneStrike,,,58301726.0,ns,477
option prices varying strike,vasicek,OneStrike,,,59166742.0,ns,486
option prices varying strike,vasicek,OneStrike,,,60976078.0,ns,495
option prices varying strike,vasicek,OneStrike,,,61356285.0,ns,504
option prices varying strike,vasicek,OneStrike,,,62778212.0,ns,513
option prices varying strike,vasicek,OneStrike,,,63486627.0,ns,522
option prices varying strike,vasicek,OneStrike,,,65161359.0,ns,531
option prices varying strike,vasicek,OneStrike,,,65561467.0,ns,540
