group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying strike,vasicek,SevenStrike,,,1474918.0,ns,6
option prices varying strike,vasicek,SevenStrike,,,2345330.0,ns,12
option prices varying strike,vasicek,SevenStrike,,,3487544.0,ns,18
option prices varying strike,vasicek,SevenStrike,,,4664060.0,ns,24
option prices varying strike,vasicek,SevenStrike,,,5824573.0,ns,30
option prices varying strike,vasicek,SevenStrike,,,7018490.0,ns,36
option prices varying strike,vasicek,SevenStrike,,,8149403.0,ns,42
option prices varying strike,vasicek,SevenStrike,,,9280018.0,ns,48
option prices varying strike,vasicek,SevenStrike,,,11088640.0,ns,54
option prices varying strike,vasicek,SevenStrike,,,11712049.0,ns,60
option prices varying strike,vasicek,SevenStrike,,,12917664.0,ns,66
option prices varying strike,vasicek,SevenStrike,,,14027278.0,ns,72
option prices varying strike,vasicek,SevenStrike,,,15100192.0,ns,78
option prices varying strike,vasicek,SevenStrike,,,16246806.0,ns,84
option prices varying strike,vasicek,SevenStrike,,,17535722.0,ns,90
option prices varying strike,vasicek,SevenStrike,,,18541836.0,ns,96
option prices varying strike,vasicek,SevenStrike,,,19945453.0,ns,102
option prices varying strike,vasicek,SevenStrike,,,21022566.0,ns,108
option prices varying strike,vasicek,SevenStrike,,,22160982.0,ns,114
option prices varying strike,vasicek,SevenStrike,,,23751001.0,ns,120
option prices varying strike,vasicek,SevenStrike,,,24315309.0,ns,126
option prices varying strike,vasicek,SevenStrike,,,25729826.0,ns,132
option prices varying strike,vasicek,SevenStrike,,,26890941.0,ns,138
option prices varying strike,vasicek,SevenStrike,,,28026056.0,ns,144
option prices varying strike,vasicek,SevenStrike,,,29390373.0,ns,150
option prices varying strike,vasicek,SevenStrike,,,30284384.0,ns,156
option prices varying strike,vasicek,SevenStrike,,,31329198.0,ns,162
option prices varying strike,vasicek,SevenStrike,,,33746728.0,ns,168
option prices varying strike,vasicek,SevenStrike,,,33747428.0,ns,174
option prices varying strike,vasicek,SevenStrike,,,34895943.0,ns,180
option prices varying strike,vasicek,SevenStrike,,,36069358.0,ns,186
option prices varying strike,vasicek,SevenStrike,,,37193072.0,ns,192
option prices varying strike,vasicek,SevenStrike,,,38372487.0,ns,198
option prices varying strike,vasicek,SevenStrike,,,39751004.0,ns,204
option prices varying strike,vasicek,SevenStrike,,,41100022.0,ns,210
option prices varying strike,vasicek,SevenStrike,,,42028933.0,ns,216
option prices varying strike,vasicek,SevenStrike,,,42946145.0,ns,222
option prices varying strike,vasicek,SevenStrike,,,44450364.0,ns,228
option prices varying strike,vasicek,SevenStrike,,,45757381.0,ns,234
option prices varying strike,vasicek,SevenStrike,,,46763393.0,ns,240
option prices varying strike,vasicek,SevenStrike,,,47610704.0,ns,246
option prices varying strike,vasicek,SevenStrike,,,49335026.0,ns,252
option prices varying strike,vasicek,SevenStrike,,,50059235.0,ns,258
option prices varying strike,vasicek,SevenStrike,,,51279151.0,ns,264
option prices varying strike,vasicek,SevenStrike,,,52270363.0,ns,270
option prices varying strike,vasicek,SevenStrike,,,53528380.0,ns,276
option prices varying strike,vasicek,SevenStrike,,,54857096.0,ns,282
option prices varying strike,vasicek,SevenStrike,,,56384715.0,ns,288
option prices varying strike,vasicek,SevenStrike,,,57147225.0,ns,294
option prices varying strike,vasicek,SevenStrike,,,58230539.0,ns,300
option prices varying strike,vasicek,SevenStrike,,,59336853.0,ns,306
option prices varying strike,vasicek,SevenStrike,,,60573669.0,ns,312
option prices varying strike,vasicek,SevenStrike,,,61558681.0,ns,318
option prices varying strike,vasicek,SevenStrike,,,62722696.0,ns,324
option prices varying strike,vasicek,SevenStrike,,,63849810.0,ns,330
option prices varying strike,vasicek,SevenStrike,,,65095726.0,ns,336
option prices varying strike,vasicek,SevenStrike,,,66493644.0,ns,342
option prices varying strike,vasicek,SevenStrike,,,67506957.0,ns,348
option prices varying strike,vasicek,SevenStrike,,,69182778.0,ns,354
option prices varying strike,vasicek,SevenStrike,,,69976287.0,ns,360
option prices varying strike,vasicek,SevenStrike,,,71543508.0,ns,366
option prices varying strike,vasicek,SevenStrike,,,72791124.0,ns,372
option prices varying strike,vasicek,SevenStrike,,,73767736.0,ns,378
option prices varying strike,vasicek,SevenStrike,,,75182254.0,ns,384
option prices varying strike,vasicek,SevenStrike,,,75828562.0,ns,390
option prices varying strike,vasicek,SevenStrike,,,76510971.0,ns,396
option prices varying strike,vasicek,SevenStrike,,,78060891.0,ns,402
option prices varying strike,vasicek,SevenStrike,,,79070903.0,ns,408
option prices varying strike,vasicek,SevenStrike,,,80569223.0,ns,414
option prices varying strike,vasicek,SevenStrike,,,81559934.0,ns,420
option prices varying strike,vasicek,SevenStrike,,,82843652.0,ns,426
option prices varying strike,vasicek,SevenStrike,,,85137080.0,ns,432
option prices varying strike,vasicek,SevenStrike,,,85691887.0,ns,438
option prices varying strike,vasicek,SevenStrike,,,86340996.0,ns,444
option prices varying strike,vasicek,SevenStrike,,,87786814.0,ns,450
option prices varying strike,vasicek,SevenStrike,,,88723526.0,ns,456
option prices varying strike,vasicek,SevenStrike,,,89817140.0,ns,462
option prices varying strike,vasicek,SevenStrike,,,94823003.0,ns,468
option prices varying strike,vasicek,SevenStrike,,,91658063.0,ns,474
option prices varying strike,vasicek,SevenStrike,,,92987380.0,ns,480
option prices varying strike,vasicek,SevenStrike,,,94381998.0,ns,486
option prices varying strike,vasicek,SevenStrike,,,95761715.0,ns,492
option prices varying strike,vasicek,SevenStrike,,,97315735.0,ns,498
option prices varying strike,vasicek,SevenStrike,,,97980343.0,ns,504
option prices varying strike,vasicek,SevenStrike,,,99114958.0,ns,510
option prices varying strike,vasicek,SevenStrike,,,103677215.0,ns,516
option prices varying strike,vasicek,SevenStrike,,,101398387.0,ns,522
option prices varying strike,vasicek,SevenStrike,,,102317998.0,ns,528
option prices varying strike,vasicek,SevenStrike,,,103687516.0,ns,534
option prices varying strike,vasicek,SevenStrike,,,104443025.0,ns,540
option prices varying strike,vasicek,SevenStrike,,,105790043.0,ns,546
option prices varying strike,vasicek,SevenStrike,,,107149959.0,ns,552
option prices varying strike,vasicek,SevenStrike,,,108647579.0,ns,558
option prices varying strike,vasicek,SevenStrike,,,109683592.0,ns,564
option prices varying strike,vasicek,SevenStrike,,,110247499.0,ns,570
option prices varying strike,vasicek,SevenStrike,,,112568928.0,ns,576
option prices varying strike,vasicek,SevenStrike,,,113690243.0,ns,582
option prices varying strike,vasicek,SevenStrike,,,114460952.0,ns,588
option prices varying strike,vasicek,SevenStrike,,,116364777.0,ns,594
option prices varying strike,vasicek,SevenStrike,,,117217488.0,ns,600
