group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,CGMY,256,,,1501029.0,ns,5
option prices varying u,CGMY,256,,,2374145.0,ns,10
option prices varying u,CGMY,256,,,3535168.0,ns,15
option prices varying u,CGMY,256,,,4713290.0,ns,20
option prices varying u,CGMY,256,,,5903614.0,ns,25
option prices varying u,CGMY,256,,,7134838.0,ns,30
option prices varying u,CGMY,256,,,8284660.0,ns,35
option prices varying u,CGMY,256,,,9454382.0,ns,40
option prices varying u,CGMY,256,,,10623505.0,ns,45
option prices varying u,CGMY,256,,,11858828.0,ns,50
option prices varying u,CGMY,256,,,13027251.0,ns,55
option prices varying u,CGMY,256,,,14174473.0,ns,60
option prices varying u,CGMY,256,,,15333896.0,ns,65
option prices varying u,CGMY,256,,,16689022.0,ns,70
option prices varying u,CGMY,256,,,17764642.0,ns,75
option prices varying u,CGMY,256,,,18912065.0,ns,80
option prices varying u,CGMY,256,,,20065487.0,ns,85
option prices varying u,CGMY,256,,,21204409.0,ns,90
option prices varying u,CGMY,256,,,22558735.0,ns,95
option prices varying u,CGMY,256,,,23891161.0,ns,100
option prices varying u,CGMY,256,,,24918980.0,ns,105
option prices varying u,CGMY,256,,,26070003.0,ns,110
option prices varying u,CGMY,256,,,27026221.0,ns,115
option prices varying u,CGMY,256,,,28321846.0,ns,120
option prices varying u,CGMY,256,,,29802475.0,ns,125
option prices varying u,CGMY,256,,,30884596.0,ns,130
option prices varying u,CGMY,256,,,31854314.0,ns,135
option prices varying u,CGMY,256,,,32980936.0,ns,140
option prices varying u,CGMY,256,,,35153978.0,ns,145
option prices varying u,CGMY,256,,,35321981.0,ns,150
option prices varying u,CGMY,256,,,37534024.0,ns,155
option prices varying u,CGMY,256,,,37703927.0,ns,160
option prices varying u,CGMY,256,,,39071753.0,ns,165
option prices varying u,CGMY,256,,,40230176.0,ns,170
option prices varying u,CGMY,256,,,41407399.0,ns,175
option prices varying u,CGMY,256,,,42647222.0,ns,180
option prices varying u,CGMY,256,,,43599141.0,ns,185
option prices varying u,CGMY,256,,,45009768.0,ns,190
option prices varying u,CGMY,256,,,45959686.0,ns,195
option prices varying u,CGMY,256,,,47106309.0,ns,200
option prices varying u,CGMY,256,,,50702077.0,ns,205
option prices varying u,CGMY,256,,,49423853.0,ns,210
option prices varying u,CGMY,256,,,50781780.0,ns,215
option prices varying u,CGMY,256,,,51881900.0,ns,220
option prices varying u,CGMY,256,,,53273628.0,ns,225
option prices varying u,CGMY,256,,,54186845.0,ns,230
option prices varying u,CGMY,256,,,55546271.0,ns,235
option prices varying u,CGMY,256,,,56670993.0,ns,240
option prices varying u,CGMY,256,,,58434426.0,ns,245
option prices varying u,CGMY,256,,,59306944.0,ns,250
option prices varying u,CGMY,256,,,60435966.0,ns,255
option prices varying u,CGMY,256,,,61655889.0,ns,260
option prices varying u,CGMY,256,,,62895913.0,ns,265
option prices varying u,CGMY,256,,,63760929.0,ns,270
option prices varying u,CGMY,256,,,65067055.0,ns,275
option prices varying u,CGMY,256,,,66199576.0,ns,280
option prices varying u,CGMY,256,,,67136095.0,ns,285
option prices varying u,CGMY,256,,,68125714.0,ns,290
option prices varying u,CGMY,256,,,70108152.0,ns,295
option prices varying u,CGMY,256,,,70758264.0,ns,300
option prices varying u,CGMY,256,,,72072590.0,ns,305
option prices varying u,CGMY,256,,,73326614.0,ns,310
option prices varying u,CGMY,256,,,74417635.0,ns,315
option prices varying u,CGMY,256,,,75559758.0,ns,320
option prices varying u,CGMY,256,,,76767380.0,ns,325
option prices varying u,CGMY,256,,,78082406.0,ns,330
option prices varying u,CGMY,256,,,79322729.0,ns,335
option prices varying u,CGMY,256,,,81771777.0,ns,340
option prices varying u,CGMY,256,,,81452371.0,ns,345
option prices varying u,CGMY,256,,,82849798.0,ns,350
option prices varying u,CGMY,256,,,84134322.0,ns,355
option prices varying u,CGMY,256,,,85381447.0,ns,360
option prices varying u,CGMY,256,,,86250363.0,ns,365
option prices varying u,CGMY,256,,,87668791.0,ns,370
option prices varying u,CGMY,256,,,88679110.0,ns,375
option prices varying u,CGMY,256,,,90071036.0,ns,380
option prices varying u,CGMY,256,,,91108557.0,ns,385
option prices varying u,CGMY,256,,,92345081.0,ns,390
option prices varying u,CGMY,256,,,93758108.0,ns,395
option prices varying u,CGMY,256,,,95343538.0,ns,400
option prices varying u,CGMY,256,,,95772247.0,ns,405
option prices varying u,CGMY,256,,,96908968.0,ns,410
option prices varying u,CGMY,256,,,100604240.0,ns,415
option prices varying u,CGMY,256,,,99151512.0,ns,420
option prices varying u,CGMY,256,,,100415836.0,ns,425
option prices varying u,CGMY,256,,,101740662.0,ns,430
option prices varying u,CGMY,256,,,107644676.0,ns,435
option prices varying u,CGMY,256,,,104307711.0,ns,440
option prices varying u,CGMY,256,,,106282149.0,ns,445
option prices varying u,CGMY,256,,,113265484.0,ns,450
option prices varying u,CGMY,256,,,107572075.0,ns,455
option prices varying u,CGMY,256,,,108901499.0,ns,460
option prices varying u,CGMY,256,,,110088623.0,ns,465
option prices varying u,CGMY,256,,,111356847.0,ns,470
option prices varying u,CGMY,256,,,112091462.0,ns,475
option prices varying u,CGMY,256,,,113378386.0,ns,480
option prices varying u,CGMY,256,,,115112519.0,ns,485
option prices varying u,CGMY,256,,,116158540.0,ns,490
option prices varying u,CGMY,256,,,117831272.0,ns,495
option prices varying u,CGMY,256,,,118304081.0,ns,500
