group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,CGMY,512,,,1848131.0,ns,3
option prices varying u,CGMY,512,,,2624587.0,ns,6
option prices varying u,CGMY,512,,,3907878.0,ns,9
option prices varying u,CGMY,512,,,5254774.0,ns,12
option prices varying u,CGMY,512,,,6576169.0,ns,15
option prices varying u,CGMY,512,,,7879261.0,ns,18
option prices varying u,CGMY,512,,,9184054.0,ns,21
option prices varying u,CGMY,512,,,10495748.0,ns,24
option prices varying u,CGMY,512,,,11893147.0,ns,27
option prices varying u,CGMY,512,,,13273846.0,ns,30
option prices varying u,CGMY,512,,,14469430.0,ns,33
option prices varying u,CGMY,512,,,15791325.0,ns,36
option prices varying u,CGMY,512,,,17131521.0,ns,39
option prices varying u,CGMY,512,,,18364508.0,ns,42
option prices varying u,CGMY,512,,,19623498.0,ns,45
option prices varying u,CGMY,512,,,20960293.0,ns,48
option prices varying u,CGMY,512,,,22329390.0,ns,51
option prices varying u,CGMY,512,,,23834398.0,ns,54
option prices varying u,CGMY,512,,,24953078.0,ns,57
option prices varying u,CGMY,512,,,27806080.0,ns,60
option prices varying u,CGMY,512,,,27586665.0,ns,63
option prices varying u,CGMY,512,,,29043769.0,ns,66
option prices varying u,CGMY,512,,,30056841.0,ns,69
option prices varying u,CGMY,512,,,32035382.0,ns,72
option prices varying u,CGMY,512,,,33720802.0,ns,75
option prices varying u,CGMY,512,,,37091542.0,ns,78
option prices varying u,CGMY,512,,,35662340.0,ns,81
option prices varying u,CGMY,512,,,36786520.0,ns,84
option prices varying u,CGMY,512,,,40623894.0,ns,87
option prices varying u,CGMY,512,,,39482413.0,ns,90
option prices varying u,CGMY,512,,,40718000.0,ns,93
option prices varying u,CGMY,512,,,42064196.0,ns,96
option prices varying u,CGMY,512,,,43539502.0,ns,99
option prices varying u,CGMY,512,,,44939001.0,ns,102
option prices varying u,CGMY,512,,,46120185.0,ns,105
option prices varying u,CGMY,512,,,47372675.0,ns,108
option prices varying u,CGMY,512,,,48650165.0,ns,111
option prices varying u,CGMY,512,,,50935529.0,ns,114
option prices varying u,CGMY,512,,,51232149.0,ns,117
option prices varying u,CGMY,512,,,52940071.0,ns,120
option prices varying u,CGMY,512,,,53906840.0,ns,123
option prices varying u,CGMY,512,,,55041121.0,ns,126
option prices varying u,CGMY,512,,,57139970.0,ns,129
option prices varying u,CGMY,512,,,58106839.0,ns,132
option prices varying u,CGMY,512,,,60245092.0,ns,135
option prices varying u,CGMY,512,,,60607517.0,ns,138
option prices varying u,CGMY,512,,,61833604.0,ns,141
option prices varying u,CGMY,512,,,63543426.0,ns,144
option prices varying u,CGMY,512,,,64910824.0,ns,147
option prices varying u,CGMY,512,,,69904679.0,ns,150
option prices varying u,CGMY,512,,,71051961.0,ns,153
option prices varying u,CGMY,512,,,68960013.0,ns,156
option prices varying u,CGMY,512,,,69903879.0,ns,159
option prices varying u,CGMY,512,,,71288378.0,ns,162
option prices varying u,CGMY,512,,,72508265.0,ns,165
option prices varying u,CGMY,512,,,73861062.0,ns,168
option prices varying u,CGMY,512,,,75133351.0,ns,171
option prices varying u,CGMY,512,,,76487849.0,ns,174
option prices varying u,CGMY,512,,,77480319.0,ns,177
option prices varying u,CGMY,512,,,79083133.0,ns,180
option prices varying u,CGMY,512,,,80365825.0,ns,183
option prices varying u,CGMY,512,,,81829729.0,ns,186
option prices varying u,CGMY,512,,,82904106.0,ns,189
option prices varying u,CGMY,512,,,84016484.0,ns,192
option prices varying u,CGMY,512,,,85616599.0,ns,195
option prices varying u,CGMY,512,,,86860887.0,ns,198
option prices varying u,CGMY,512,,,88107577.0,ns,201
option prices varying u,CGMY,512,,,89170451.0,ns,204
option prices varying u,CGMY,512,,,90490446.0,ns,207
option prices varying u,CGMY,512,,,91923248.0,ns,210
option prices varying u,CGMY,512,,,93383752.0,ns,213
option prices varying u,CGMY,512,,,94435927.0,ns,216
option prices varying u,CGMY,512,,,96356764.0,ns,219
option prices varying u,CGMY,512,,,96812996.0,ns,222
option prices varying u,CGMY,512,,,98389109.0,ns,225
option prices varying u,CGMY,512,,,99606495.0,ns,228
option prices varying u,CGMY,512,,,101151305.0,ns,231
option prices varying u,CGMY,512,,,102775521.0,ns,234
option prices varying u,CGMY,512,,,109895328.0,ns,237
option prices varying u,CGMY,512,,,105242397.0,ns,240
option prices varying u,CGMY,512,,,106751004.0,ns,243
option prices varying u,CGMY,512,,,108043697.0,ns,246
option prices varying u,CGMY,512,,,109111772.0,ns,249
option prices varying u,CGMY,512,,,111664154.0,ns,252
option prices varying u,CGMY,512,,,112033681.0,ns,255
option prices varying u,CGMY,512,,,113249767.0,ns,258
option prices varying u,CGMY,512,,,114878083.0,ns,261
option prices varying u,CGMY,512,,,115720443.0,ns,264
option prices varying u,CGMY,512,,,116966532.0,ns,267
option prices varying u,CGMY,512,,,118857366.0,ns,270
option prices varying u,CGMY,512,,,119661824.0,ns,273
option prices varying u,CGMY,512,,,120994919.0,ns,276
option prices varying u,CGMY,512,,,121947587.0,ns,279
option prices varying u,CGMY,512,,,123787217.0,ns,282
option prices varying u,CGMY,512,,,125453337.0,ns,285
option prices varying u,CGMY,512,,,127246064.0,ns,288
option prices varying u,CGMY,512,,,127660394.0,ns,291
option prices varying u,CGMY,512,,,129186802.0,ns,294
option prices varying u,CGMY,512,,,133301095.0,ns,297
option prices varying u,CGMY,512,,,133109882.0,ns,300
