group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,cgmy,1024,,,2816568.0,ns,2
option prices varying u,cgmy,1024,,,11409487.0,ns,4
option prices varying u,cgmy,1024,,,5469421.0,ns,6
option prices varying u,cgmy,1024,,,6522421.0,ns,8
option prices varying u,cgmy,1024,,,8156878.0,ns,10
option prices varying u,cgmy,1024,,,9652220.0,ns,12
option prices varying u,cgmy,1024,,,11366483.0,ns,14
option prices varying u,cgmy,1024,,,14981628.0,ns,16
option prices varying u,cgmy,1024,,,15574685.0,ns,18
option prices varying u,cgmy,1024,,,16791200.0,ns,20
option prices varying u,cgmy,1024,,,22046401.0,ns,22
option prices varying u,cgmy,1024,,,19716379.0,ns,24
option prices varying u,cgmy,1024,,,21441144.0,ns,26
option prices varying u,cgmy,1024,,,22910984.0,ns,28
option prices varying u,cgmy,1024,,,25373519.0,ns,30
option prices varying u,cgmy,1024,,,29642825.0,ns,32
option prices varying u,cgmy,1024,,,32619209.0,ns,34
option prices varying u,cgmy,1024,,,30682325.0,ns,36
option prices varying u,cgmy,1024,,,32287377.0,ns,38
option prices varying u,cgmy,1024,,,32064456.0,ns,40
option prices varying u,cgmy,1024,,,34559194.0,ns,42
option prices varying u,cgmy,1024,,,42121715.0,ns,44
option prices varying u,cgmy,1024,,,42396541.0,ns,46
option prices varying u,cgmy,1024,,,42075811.0,ns,48
option prices varying u,cgmy,1024,,,41457251.0,ns,50
option prices varying u,cgmy,1024,,,44704961.0,ns,52
option prices varying u,cgmy,1024,,,49749342.0,ns,54
option prices varying u,cgmy,1024,,,53359086.0,ns,56
option prices varying u,cgmy,1024,,,48081383.0,ns,58
option prices varying u,cgmy,1024,,,48757647.0,ns,60
option prices varying u,cgmy,1024,,,51794937.0,ns,62
option prices varying u,cgmy,1024,,,51332093.0,ns,64
option prices varying u,cgmy,1024,,,56119249.0,ns,66
option prices varying u,cgmy,1024,,,58385866.0,ns,68
option prices varying u,cgmy,1024,,,58675993.0,ns,70
option prices varying u,cgmy,1024,,,56824216.0,ns,72
option prices varying u,cgmy,1024,,,59220545.0,ns,74
option prices varying u,cgmy,1024,,,61287342.0,ns,76
option prices varying u,cgmy,1024,,,62454153.0,ns,78
option prices varying u,cgmy,1024,,,63634165.0,ns,80
option prices varying u,cgmy,1024,,,65496343.0,ns,82
option prices varying u,cgmy,1024,,,67509535.0,ns,84
option prices varying u,cgmy,1024,,,68414721.0,ns,86
option prices varying u,cgmy,1024,,,70036576.0,ns,88
option prices varying u,cgmy,1024,,,71829947.0,ns,90
option prices varying u,cgmy,1024,,,78024637.0,ns,92
option prices varying u,cgmy,1024,,,82079023.0,ns,94
option prices varying u,cgmy,1024,,,75849430.0,ns,96
option prices varying u,cgmy,1024,,,77480985.0,ns,98
option prices varying u,cgmy,1024,,,82578571.0,ns,100
option prices varying u,cgmy,1024,,,83537862.0,ns,102
option prices varying u,cgmy,1024,,,84753978.0,ns,104
option prices varying u,cgmy,1024,,,87425533.0,ns,106
option prices varying u,cgmy,1024,,,89051589.0,ns,108
option prices varying u,cgmy,1024,,,91741144.0,ns,110
option prices varying u,cgmy,1024,,,91277101.0,ns,112
option prices varying u,cgmy,1024,,,92524819.0,ns,114
option prices varying u,cgmy,1024,,,96148164.0,ns,116
