group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,cgmy,128,,,1464640.0,ns,8
option prices varying u,cgmy,128,,,2391428.0,ns,16
option prices varying u,cgmy,128,,,3103296.0,ns,24
option prices varying u,cgmy,128,,,4142895.0,ns,32
option prices varying u,cgmy,128,,,5563531.0,ns,40
option prices varying u,cgmy,128,,,6254996.0,ns,48
option prices varying u,cgmy,128,,,7417108.0,ns,56
option prices varying u,cgmy,128,,,8314793.0,ns,64
option prices varying u,cgmy,128,,,9373994.0,ns,72
option prices varying u,cgmy,128,,,10371290.0,ns,80
option prices varying u,cgmy,128,,,11483195.0,ns,88
option prices varying u,cgmy,128,,,12535896.0,ns,96
option prices varying u,cgmy,128,,,13468084.0,ns,104
option prices varying u,cgmy,128,,,14554089.0,ns,112
option prices varying u,cgmy,128,,,16048331.0,ns,120
option prices varying u,cgmy,128,,,16619085.0,ns,128
option prices varying u,cgmy,128,,,17672886.0,ns,136
option prices varying u,cgmy,128,,,18626876.0,ns,144
option prices varying u,cgmy,128,,,19860495.0,ns,152
option prices varying u,cgmy,128,,,21078611.0,ns,160
option prices varying u,cgmy,128,,,21805079.0,ns,168
option prices varying u,cgmy,128,,,22751070.0,ns,176
option prices varying u,cgmy,128,,,23950184.0,ns,184
option prices varying u,cgmy,128,,,24941379.0,ns,192
option prices varying u,cgmy,128,,,25929474.0,ns,200
option prices varying u,cgmy,128,,,26828259.0,ns,208
option prices varying u,cgmy,128,,,28048575.0,ns,216
option prices varying u,cgmy,128,,,29126879.0,ns,224
option prices varying u,cgmy,128,,,30212981.0,ns,232
option prices varying u,cgmy,128,,,31189675.0,ns,240
option prices varying u,cgmy,128,,,32298580.0,ns,248
option prices varying u,cgmy,128,,,33200166.0,ns,256
option prices varying u,cgmy,128,,,34101453.0,ns,264
option prices varying u,cgmy,128,,,35182056.0,ns,272
option prices varying u,cgmy,128,,,36085042.0,ns,280
option prices varying u,cgmy,128,,,37293458.0,ns,288
option prices varying u,cgmy,128,,,39075227.0,ns,296
option prices varying u,cgmy,128,,,39274546.0,ns,304
option prices varying u,cgmy,128,,,53448598.0,ns,312
option prices varying u,cgmy,128,,,41049915.0,ns,320
option prices varying u,cgmy,128,,,42204126.0,ns,328
option prices varying u,cgmy,128,,,43656964.0,ns,336
option prices varying u,cgmy,128,,,44533648.0,ns,344
option prices varying u,cgmy,128,,,46099197.0,ns,352
option prices varying u,cgmy,128,,,46785562.0,ns,360
option prices varying u,cgmy,128,,,47240806.0,ns,368
option prices varying u,cgmy,128,,,48298607.0,ns,376
option prices varying u,cgmy,128,,,49497121.0,ns,384
option prices varying u,cgmy,128,,,50538621.0,ns,392
option prices varying u,cgmy,128,,,51757537.0,ns,400
option prices varying u,cgmy,128,,,53085063.0,ns,408
option prices varying u,cgmy,128,,,53969548.0,ns,416
option prices varying u,cgmy,128,,,54710119.0,ns,424
option prices varying u,cgmy,128,,,55792922.0,ns,432
option prices varying u,cgmy,128,,,56650604.0,ns,440
option prices varying u,cgmy,128,,,57701604.0,ns,448
option prices varying u,cgmy,128,,,58838412.0,ns,456
option prices varying u,cgmy,128,,,59830207.0,ns,464
option prices varying u,cgmy,128,,,60838703.0,ns,472
option prices varying u,cgmy,128,,,62037718.0,ns,480
option prices varying u,cgmy,128,,,62794790.0,ns,488
option prices varying u,cgmy,128,,,64500052.0,ns,496
option prices varying u,cgmy,128,,,65403139.0,ns,504
option prices varying u,cgmy,128,,,66161411.0,ns,512
option prices varying u,cgmy,128,,,67238613.0,ns,520
option prices varying u,cgmy,128,,,67770864.0,ns,528
option prices varying u,cgmy,128,,,69124693.0,ns,536
option prices varying u,cgmy,128,,,70310106.0,ns,544
option prices varying u,cgmy,128,,,71189291.0,ns,552
option prices varying u,cgmy,128,,,72216888.0,ns,560
option prices varying u,cgmy,128,,,72947458.0,ns,568
option prices varying u,cgmy,128,,,74344692.0,ns,576
option prices varying u,cgmy,128,,,75383291.0,ns,584
option prices varying u,cgmy,128,,,76443991.0,ns,592
option prices varying u,cgmy,128,,,77283772.0,ns,600
option prices varying u,cgmy,128,,,78531991.0,ns,608
option prices varying u,cgmy,128,,,79653798.0,ns,616
option prices varying u,cgmy,128,,,80141544.0,ns,624
option prices varying u,cgmy,128,,,81275252.0,ns,632
option prices varying u,cgmy,128,,,82563076.0,ns,640
option prices varying u,cgmy,128,,,83714685.0,ns,648
option prices varying u,cgmy,128,,,85248231.0,ns,656
option prices varying u,cgmy,128,,,85946899.0,ns,664
option prices varying u,cgmy,128,,,86697869.0,ns,672
option prices varying u,cgmy,128,,,87994894.0,ns,680
option prices varying u,cgmy,128,,,89142903.0,ns,688
option prices varying u,cgmy,128,,,89789665.0,ns,696
option prices varying u,cgmy,128,,,91202499.0,ns,704
option prices varying u,cgmy,128,,,91877264.0,ns,712
option prices varying u,cgmy,128,,,93179688.0,ns,720
option prices varying u,cgmy,128,,,94173283.0,ns,728
option prices varying u,cgmy,128,,,95557615.0,ns,736
option prices varying u,cgmy,128,,,96689223.0,ns,744
option prices varying u,cgmy,128,,,97220174.0,ns,752
option prices varying u,cgmy,128,,,98333579.0,ns,760
option prices varying u,cgmy,128,,,98875732.0,ns,768
option prices varying u,cgmy,128,,,100041342.0,ns,776
option prices varying u,cgmy,128,,,101224756.0,ns,784
option prices varying u,cgmy,128,,,102256654.0,ns,792
option prices varying u,cgmy,128,,,103580680.0,ns,800
