group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,heston,128,,,1170922.0,ns,17
option prices varying u,heston,128,,,2070838.0,ns,34
option prices varying u,heston,128,,,3094258.0,ns,51
option prices varying u,heston,128,,,4121277.0,ns,68
option prices varying u,heston,128,,,5170896.0,ns,85
option prices varying u,heston,128,,,6207315.0,ns,102
option prices varying u,heston,128,,,7254835.0,ns,119
option prices varying u,heston,128,,,8367156.0,ns,136
option prices varying u,heston,128,,,9305973.0,ns,153
option prices varying u,heston,128,,,10331893.0,ns,170
option prices varying u,heston,128,,,11393012.0,ns,187
option prices varying u,heston,128,,,12369030.0,ns,204
option prices varying u,heston,128,,,13592453.0,ns,221
option prices varying u,heston,128,,,14498570.0,ns,238
option prices varying u,heston,128,,,15562989.0,ns,255
option prices varying u,heston,128,,,16648610.0,ns,272
option prices varying u,heston,128,,,17805932.0,ns,289
option prices varying u,heston,128,,,18788149.0,ns,306
option prices varying u,heston,128,,,19605765.0,ns,323
option prices varying u,heston,128,,,20720386.0,ns,340
option prices varying u,heston,128,,,21736604.0,ns,357
option prices varying u,heston,128,,,22641622.0,ns,374
option prices varying u,heston,128,,,24845462.0,ns,391
option prices varying u,heston,128,,,25077767.0,ns,408
option prices varying u,heston,128,,,25802780.0,ns,425
option prices varying u,heston,128,,,26931301.0,ns,442
option prices varying u,heston,128,,,27976921.0,ns,459
option prices varying u,heston,128,,,29009240.0,ns,476
option prices varying u,heston,128,,,30000658.0,ns,493
option prices varying u,heston,128,,,30935576.0,ns,510
option prices varying u,heston,128,,,31986395.0,ns,527
option prices varying u,heston,128,,,33099616.0,ns,544
option prices varying u,heston,128,,,33965132.0,ns,561
option prices varying u,heston,128,,,35228256.0,ns,578
option prices varying u,heston,128,,,36409478.0,ns,595
option prices varying u,heston,128,,,37295494.0,ns,612
option prices varying u,heston,128,,,38299012.0,ns,629
option prices varying u,heston,128,,,39913643.0,ns,646
option prices varying u,heston,128,,,40934562.0,ns,663
option prices varying u,heston,128,,,41953781.0,ns,680
option prices varying u,heston,128,,,42743495.0,ns,697
option prices varying u,heston,128,,,43494410.0,ns,714
option prices varying u,heston,128,,,44500228.0,ns,731
option prices varying u,heston,128,,,45908754.0,ns,748
option prices varying u,heston,128,,,46707270.0,ns,765
option prices varying u,heston,128,,,52198771.0,ns,782
option prices varying u,heston,128,,,49372919.0,ns,799
option prices varying u,heston,128,,,50382938.0,ns,816
option prices varying u,heston,128,,,51106951.0,ns,833
option prices varying u,heston,128,,,52079369.0,ns,850
option prices varying u,heston,128,,,53168090.0,ns,867
option prices varying u,heston,128,,,54257309.0,ns,884
option prices varying u,heston,128,,,55184827.0,ns,901
option prices varying u,heston,128,,,56222046.0,ns,918
option prices varying u,heston,128,,,57443369.0,ns,935
option prices varying u,heston,128,,,59257703.0,ns,952
option prices varying u,heston,128,,,59568608.0,ns,969
option prices varying u,heston,128,,,61020436.0,ns,986
option prices varying u,heston,128,,,62547564.0,ns,1003
option prices varying u,heston,128,,,62935171.0,ns,1020
option prices varying u,heston,128,,,63625685.0,ns,1037
option prices varying u,heston,128,,,64741404.0,ns,1054
option prices varying u,heston,128,,,65379117.0,ns,1071
option prices varying u,heston,128,,,66741642.0,ns,1088
option prices varying u,heston,128,,,67702960.0,ns,1105
option prices varying u,heston,128,,,68874082.0,ns,1122
option prices varying u,heston,128,,,69576795.0,ns,1139
option prices varying u,heston,128,,,70859819.0,ns,1156
option prices varying u,heston,128,,,71995940.0,ns,1173
option prices varying u,heston,128,,,72328646.0,ns,1190
option prices varying u,heston,128,,,74332083.0,ns,1207
option prices varying u,heston,128,,,74562788.0,ns,1224
option prices varying u,heston,128,,,76360921.0,ns,1241
option prices varying u,heston,128,,,76811130.0,ns,1258
option prices varying u,heston,128,,,77872349.0,ns,1275
option prices varying u,heston,128,,,78916269.0,ns,1292
option prices varying u,heston,128,,,83379451.0,ns,1309
option prices varying u,heston,128,,,81332614.0,ns,1326
option prices varying u,heston,128,,,82107628.0,ns,1343
option prices varying u,heston,128,,,83323851.0,ns,1360
option prices varying u,heston,128,,,84339169.0,ns,1377
option prices varying u,heston,128,,,84810279.0,ns,1394
option prices varying u,heston,128,,,86499310.0,ns,1411
option prices varying u,heston,128,,,88607249.0,ns,1428
option prices varying u,heston,128,,,87927236.0,ns,1445
option prices varying u,heston,128,,,89214660.0,ns,1462
option prices varying u,heston,128,,,90965492.0,ns,1479
option prices varying u,heston,128,,,91732708.0,ns,1496
option prices varying u,heston,128,,,92754626.0,ns,1513
option prices varying u,heston,128,,,93913848.0,ns,1530
option prices varying u,heston,128,,,94142452.0,ns,1547
option prices varying u,heston,128,,,95610479.0,ns,1564
option prices varying u,heston,128,,,96804002.0,ns,1581
option prices varying u,heston,128,,,98614734.0,ns,1598
option prices varying u,heston,128,,,98849738.0,ns,1615
option prices varying u,heston,128,,,99873457.0,ns,1632
option prices varying u,heston,128,,,100257864.0,ns,1649
option prices varying u,heston,128,,,101003978.0,ns,1666
option prices varying u,heston,128,,,102909813.0,ns,1683
option prices varying u,heston,128,,,103500725.0,ns,1700
