group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,heston,512,,,1057910.0,ns,6
option prices varying u,heston,512,,,2191320.0,ns,12
option prices varying u,heston,512,,,2750825.0,ns,18
option prices varying u,heston,512,,,3726134.0,ns,24
option prices varying u,heston,512,,,4882745.0,ns,30
option prices varying u,heston,512,,,5966655.0,ns,36
option prices varying u,heston,512,,,7161766.0,ns,42
option prices varying u,heston,512,,,7924172.0,ns,48
option prices varying u,heston,512,,,8748881.0,ns,54
option prices varying u,heston,512,,,9802790.0,ns,60
option prices varying u,heston,512,,,10804199.0,ns,66
option prices varying u,heston,512,,,12242512.0,ns,72
option prices varying u,heston,512,,,12389914.0,ns,78
option prices varying u,heston,512,,,14479532.0,ns,84
option prices varying u,heston,512,,,14603434.0,ns,90
option prices varying u,heston,512,,,15041238.0,ns,96
option prices varying u,heston,512,,,16737654.0,ns,102
option prices varying u,heston,512,,,18994474.0,ns,108
option prices varying u,heston,512,,,18909974.0,ns,114
option prices varying u,heston,512,,,21135594.0,ns,120
option prices varying u,heston,512,,,21830900.0,ns,126
option prices varying u,heston,512,,,22032202.0,ns,132
option prices varying u,heston,512,,,24514825.0,ns,138
option prices varying u,heston,512,,,23215113.0,ns,144
option prices varying u,heston,512,,,24756027.0,ns,150
option prices varying u,heston,512,,,27343351.0,ns,156
option prices varying u,heston,512,,,28163958.0,ns,162
option prices varying u,heston,512,,,27865356.0,ns,168
option prices varying u,heston,512,,,28601762.0,ns,174
option prices varying u,heston,512,,,27861556.0,ns,180
option prices varying u,heston,512,,,30600580.0,ns,186
option prices varying u,heston,512,,,32787801.0,ns,192
option prices varying u,heston,512,,,32167995.0,ns,198
option prices varying u,heston,512,,,32668900.0,ns,204
option prices varying u,heston,512,,,36002930.0,ns,210
option prices varying u,heston,512,,,35578226.0,ns,216
option prices varying u,heston,512,,,37627546.0,ns,222
option prices varying u,heston,512,,,40088667.0,ns,228
option prices varying u,heston,512,,,41233679.0,ns,234
option prices varying u,heston,512,,,41533754.0,ns,240
option prices varying u,heston,512,,,44653076.0,ns,246
option prices varying u,heston,512,,,42432029.0,ns,252
option prices varying u,heston,512,,,44746083.0,ns,258
option prices varying u,heston,512,,,43337289.0,ns,264
option prices varying u,heston,512,,,45141309.0,ns,270
option prices varying u,heston,512,,,47219448.0,ns,276
option prices varying u,heston,512,,,48806554.0,ns,282
option prices varying u,heston,512,,,50845589.0,ns,288
option prices varying u,heston,512,,,48863958.0,ns,294
option prices varying u,heston,512,,,52901326.0,ns,300
option prices varying u,heston,512,,,48712248.0,ns,306
option prices varying u,heston,512,,,51176511.0,ns,312
option prices varying u,heston,512,,,51446130.0,ns,318
option prices varying u,heston,512,,,54516934.0,ns,324
option prices varying u,heston,512,,,55166678.0,ns,330
option prices varying u,heston,512,,,56614674.0,ns,336
option prices varying u,heston,512,,,56556470.0,ns,342
option prices varying u,heston,512,,,59089339.0,ns,348
option prices varying u,heston,512,,,64231182.0,ns,354
option prices varying u,heston,512,,,57014501.0,ns,360
option prices varying u,heston,512,,,59131942.0,ns,366
option prices varying u,heston,512,,,59855790.0,ns,372
option prices varying u,heston,512,,,61329789.0,ns,378
option prices varying u,heston,512,,,61871224.0,ns,384
option prices varying u,heston,512,,,62178745.0,ns,390
option prices varying u,heston,512,,,65357957.0,ns,396
option prices varying u,heston,512,,,76880225.0,ns,402
option prices varying u,heston,512,,,74907693.0,ns,408
option prices varying u,heston,512,,,73244983.0,ns,414
option prices varying u,heston,512,,,70923928.0,ns,420
option prices varying u,heston,512,,,68579672.0,ns,426
option prices varying u,heston,512,,,75813854.0,ns,432
option prices varying u,heston,512,,,76081972.0,ns,438
option prices varying u,heston,512,,,79891826.0,ns,444
option prices varying u,heston,512,,,77895792.0,ns,450
option prices varying u,heston,512,,,77222348.0,ns,456
option prices varying u,heston,512,,,77846090.0,ns,462
option prices varying u,heston,512,,,83013934.0,ns,468
option prices varying u,heston,512,,,81160510.0,ns,474
option prices varying u,heston,512,,,94163778.0,ns,480
option prices varying u,heston,512,,,84615040.0,ns,486
option prices varying u,heston,512,,,83283151.0,ns,492
option prices varying u,heston,512,,,84470031.0,ns,498
option prices varying u,heston,512,,,87629341.0,ns,504
option prices varying u,heston,512,,,93990666.0,ns,510
option prices varying u,heston,512,,,94494199.0,ns,516
option prices varying u,heston,512,,,91400693.0,ns,522
option prices varying u,heston,512,,,88998432.0,ns,528
option prices varying u,heston,512,,,94542003.0,ns,534
option prices varying u,heston,512,,,92714681.0,ns,540
option prices varying u,heston,512,,,99424428.0,ns,546
option prices varying u,heston,512,,,97259283.0,ns,552
option prices varying u,heston,512,,,98012334.0,ns,558
option prices varying u,heston,512,,,97378292.0,ns,564
option prices varying u,heston,512,,,99355823.0,ns,570
option prices varying u,heston,512,,,104560171.0,ns,576
option prices varying u,heston,512,,,98892992.0,ns,582
option prices varying u,heston,512,,,96623641.0,ns,588
option prices varying u,heston,512,,,96859157.0,ns,594
option prices varying u,heston,512,,,96524435.0,ns,600
