group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,merton,128,,,1180107.0,ns,14
option prices varying u,merton,128,,,1842811.0,ns,28
option prices varying u,merton,128,,,2967418.0,ns,42
option prices varying u,merton,128,,,4039124.0,ns,56
option prices varying u,merton,128,,,6860740.0,ns,70
option prices varying u,merton,128,,,5666634.0,ns,84
option prices varying u,merton,128,,,7621645.0,ns,98
option prices varying u,merton,128,,,8047847.0,ns,112
option prices varying u,merton,128,,,8718352.0,ns,126
option prices varying u,merton,128,,,9610557.0,ns,140
option prices varying u,merton,128,,,11847070.0,ns,154
option prices varying u,merton,128,,,11714969.0,ns,168
option prices varying u,merton,128,,,13009377.0,ns,182
option prices varying u,merton,128,,,14657186.0,ns,196
option prices varying u,merton,128,,,14749887.0,ns,210
option prices varying u,merton,128,,,15756793.0,ns,224
option prices varying u,merton,128,,,17513104.0,ns,238
option prices varying u,merton,128,,,17244102.0,ns,252
option prices varying u,merton,128,,,18647810.0,ns,266
option prices varying u,merton,128,,,19314014.0,ns,280
option prices varying u,merton,128,,,21137625.0,ns,294
option prices varying u,merton,128,,,21291625.0,ns,308
option prices varying u,merton,128,,,22003430.0,ns,322
option prices varying u,merton,128,,,25295850.0,ns,336
option prices varying u,merton,128,,,26463556.0,ns,350
option prices varying u,merton,128,,,25332350.0,ns,364
option prices varying u,merton,128,,,26499756.0,ns,378
option prices varying u,merton,128,,,27357462.0,ns,392
option prices varying u,merton,128,,,27605463.0,ns,406
option prices varying u,merton,128,,,29221273.0,ns,420
option prices varying u,merton,128,,,30000177.0,ns,434
option prices varying u,merton,128,,,31350085.0,ns,448
option prices varying u,merton,128,,,32503992.0,ns,462
option prices varying u,merton,128,,,34850106.0,ns,476
option prices varying u,merton,128,,,34721005.0,ns,490
option prices varying u,merton,128,,,35232708.0,ns,504
option prices varying u,merton,128,,,35923012.0,ns,518
option prices varying u,merton,128,,,39025231.0,ns,532
option prices varying u,merton,128,,,38488127.0,ns,546
option prices varying u,merton,128,,,41327344.0,ns,560
option prices varying u,merton,128,,,44171261.0,ns,574
option prices varying u,merton,128,,,49777794.0,ns,588
option prices varying u,merton,128,,,42875653.0,ns,602
option prices varying u,merton,128,,,43586558.0,ns,616
option prices varying u,merton,128,,,46715876.0,ns,630
option prices varying u,merton,128,,,52275508.0,ns,644
option prices varying u,merton,128,,,50005896.0,ns,658
option prices varying u,merton,128,,,49420992.0,ns,672
option prices varying u,merton,128,,,50057095.0,ns,686
option prices varying u,merton,128,,,50721700.0,ns,700
option prices varying u,merton,128,,,51643505.0,ns,714
option prices varying u,merton,128,,,52488610.0,ns,728
option prices varying u,merton,128,,,54202620.0,ns,742
option prices varying u,merton,128,,,54514122.0,ns,756
option prices varying u,merton,128,,,53839918.0,ns,770
option prices varying u,merton,128,,,57185938.0,ns,784
option prices varying u,merton,128,,,58500245.0,ns,798
option prices varying u,merton,128,,,57582741.0,ns,812
option prices varying u,merton,128,,,58198143.0,ns,826
option prices varying u,merton,128,,,60385457.0,ns,840
option prices varying u,merton,128,,,60179755.0,ns,854
option prices varying u,merton,128,,,61508164.0,ns,868
option prices varying u,merton,128,,,62149967.0,ns,882
option prices varying u,merton,128,,,64631182.0,ns,896
option prices varying u,merton,128,,,63885377.0,ns,910
option prices varying u,merton,128,,,66301392.0,ns,924
option prices varying u,merton,128,,,68096902.0,ns,938
option prices varying u,merton,128,,,67260597.0,ns,952
option prices varying u,merton,128,,,68270903.0,ns,966
option prices varying u,merton,128,,,69767812.0,ns,980
option prices varying u,merton,128,,,74886043.0,ns,994
option prices varying u,merton,128,,,75020343.0,ns,1008
option prices varying u,merton,128,,,70842918.0,ns,1022
option prices varying u,merton,128,,,76554252.0,ns,1036
option prices varying u,merton,128,,,74314339.0,ns,1050
option prices varying u,merton,128,,,74945643.0,ns,1064
option prices varying u,merton,128,,,76952355.0,ns,1078
option prices varying u,merton,128,,,78729165.0,ns,1092
option prices varying u,merton,128,,,78654364.0,ns,1106
option prices varying u,merton,128,,,82964790.0,ns,1120
option prices varying u,merton,128,,,79711471.0,ns,1134
option prices varying u,merton,128,,,82593388.0,ns,1148
option prices varying u,merton,128,,,82667788.0,ns,1162
option prices varying u,merton,128,,,82415487.0,ns,1176
option prices varying u,merton,128,,,84884601.0,ns,1190
option prices varying u,merton,128,,,84776001.0,ns,1204
option prices varying u,merton,128,,,87655018.0,ns,1218
option prices varying u,merton,128,,,86329110.0,ns,1232
option prices varying u,merton,128,,,87286915.0,ns,1246
option prices varying u,merton,128,,,90434234.0,ns,1260
option prices varying u,merton,128,,,94935261.0,ns,1274
option prices varying u,merton,128,,,92653647.0,ns,1288
option prices varying u,merton,128,,,91393440.0,ns,1302
option prices varying u,merton,128,,,93223551.0,ns,1316
option prices varying u,merton,128,,,96830572.0,ns,1330
option prices varying u,merton,128,,,98040479.0,ns,1344
option prices varying u,merton,128,,,98847984.0,ns,1358
option prices varying u,merton,128,,,96654271.0,ns,1372
option prices varying u,merton,128,,,99979390.0,ns,1386
option prices varying u,merton,128,,,100605018.0,ns,1400
