group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
option prices varying u,merton,128,,,1245015.0,ns,13
option prices varying u,merton,128,,,1809522.0,ns,26
option prices varying u,merton,128,,,2804033.0,ns,39
option prices varying u,merton,128,,,3862046.0,ns,52
option prices varying u,merton,128,,,5067960.0,ns,65
option prices varying u,merton,128,,,5884071.0,ns,78
option prices varying u,merton,128,,,7200486.0,ns,91
option prices varying u,merton,128,,,8058596.0,ns,104
option prices varying u,merton,128,,,9015807.0,ns,117
option prices varying u,merton,128,,,10093421.0,ns,130
option prices varying u,merton,128,,,11027031.0,ns,143
option prices varying u,merton,128,,,11952143.0,ns,156
option prices varying u,merton,128,,,13155956.0,ns,169
option prices varying u,merton,128,,,14680176.0,ns,182
option prices varying u,merton,128,,,15042479.0,ns,195
option prices varying u,merton,128,,,16151393.0,ns,208
option prices varying u,merton,128,,,17000702.0,ns,221
option prices varying u,merton,128,,,17989515.0,ns,234
option prices varying u,merton,128,,,18943726.0,ns,247
option prices varying u,merton,128,,,19910837.0,ns,260
option prices varying u,merton,128,,,20707047.0,ns,273
option prices varying u,merton,128,,,22047263.0,ns,286
option prices varying u,merton,128,,,22762672.0,ns,299
option prices varying u,merton,128,,,23967885.0,ns,312
option prices varying u,merton,128,,,24985898.0,ns,325
option prices varying u,merton,128,,,26029211.0,ns,338
option prices varying u,merton,128,,,26949521.0,ns,351
option prices varying u,merton,128,,,27698930.0,ns,364
option prices varying u,merton,128,,,28571241.0,ns,377
option prices varying u,merton,128,,,30147260.0,ns,390
option prices varying u,merton,128,,,30813567.0,ns,403
option prices varying u,merton,128,,,31912081.0,ns,416
option prices varying u,merton,128,,,32873592.0,ns,429
option prices varying u,merton,128,,,34086606.0,ns,442
option prices varying u,merton,128,,,34951817.0,ns,455
option prices varying u,merton,128,,,36230832.0,ns,468
option prices varying u,merton,128,,,36800239.0,ns,481
option prices varying u,merton,128,,,39604572.0,ns,494
option prices varying u,merton,128,,,39355170.0,ns,507
option prices varying u,merton,128,,,39980177.0,ns,520
option prices varying u,merton,128,,,40997488.0,ns,533
option prices varying u,merton,128,,,41794499.0,ns,546
option prices varying u,merton,128,,,42746610.0,ns,559
option prices varying u,merton,128,,,43755921.0,ns,572
option prices varying u,merton,128,,,45270940.0,ns,585
option prices varying u,merton,128,,,46002549.0,ns,598
option prices varying u,merton,128,,,47375165.0,ns,611
option prices varying u,merton,128,,,50021696.0,ns,624
option prices varying u,merton,128,,,48411278.0,ns,637
option prices varying u,merton,128,,,49671492.0,ns,650
option prices varying u,merton,128,,,51200111.0,ns,663
option prices varying u,merton,128,,,51661016.0,ns,676
option prices varying u,merton,128,,,52573627.0,ns,689
option prices varying u,merton,128,,,53482538.0,ns,702
option prices varying u,merton,128,,,54527350.0,ns,715
option prices varying u,merton,128,,,54879054.0,ns,728
option prices varying u,merton,128,,,57193482.0,ns,741
option prices varying u,merton,128,,,57160182.0,ns,754
option prices varying u,merton,128,,,59252907.0,ns,767
option prices varying u,merton,128,,,59262006.0,ns,780
option prices varying u,merton,128,,,60294420.0,ns,793
option prices varying u,merton,128,,,61565934.0,ns,806
option prices varying u,merton,128,,,62830549.0,ns,819
option prices varying u,merton,128,,,63683260.0,ns,832
option prices varying u,merton,128,,,64947774.0,ns,845
option prices varying u,merton,128,,,65627683.0,ns,858
option prices varying u,merton,128,,,66765596.0,ns,871
option prices varying u,merton,128,,,67066200.0,ns,884
option prices varying u,merton,128,,,68608318.0,ns,897
option prices varying u,merton,128,,,75348299.0,ns,910
option prices varying u,merton,128,,,70303338.0,ns,923
option prices varying u,merton,128,,,71617154.0,ns,936
option prices varying u,merton,128,,,72333463.0,ns,949
option prices varying u,merton,128,,,74848892.0,ns,962
option prices varying u,merton,128,,,74554389.0,ns,975
option prices varying u,merton,128,,,75564401.0,ns,988
option prices varying u,merton,128,,,76310010.0,ns,1001
option prices varying u,merton,128,,,78167632.0,ns,1014
option prices varying u,merton,128,,,79147944.0,ns,1027
option prices varying u,merton,128,,,79847852.0,ns,1040
option prices varying u,merton,128,,,80276257.0,ns,1053
option prices varying u,merton,128,,,81907377.0,ns,1066
option prices varying u,merton,128,,,83566997.0,ns,1079
option prices varying u,merton,128,,,83513596.0,ns,1092
option prices varying u,merton,128,,,85422318.0,ns,1105
option prices varying u,merton,128,,,86316730.0,ns,1118
option prices varying u,merton,128,,,87340341.0,ns,1131
option prices varying u,merton,128,,,87332742.0,ns,1144
option prices varying u,merton,128,,,92507003.0,ns,1157
option prices varying u,merton,128,,,88754258.0,ns,1170
option prices varying u,merton,128,,,90723406.0,ns,1183
option prices varying u,merton,128,,,91372129.0,ns,1196
option prices varying u,merton,128,,,93226052.0,ns,1209
option prices varying u,merton,128,,,94364265.0,ns,1222
option prices varying u,merton,128,,,95584281.0,ns,1235
option prices varying u,merton,128,,,95416179.0,ns,1248
option prices varying u,merton,128,,,96896997.0,ns,1261
option prices varying u,merton,128,,,97851209.0,ns,1274
option prices varying u,merton,128,,,99884334.0,ns,1287
option prices varying u,merton,128,,,99754233.0,ns,1300
